,Relative Gain,Fold,Prototype,Data Dimension,Center Dimension,Data Set
77,0.06003234656005896,0,flag_median,2,4,gse73072_hrv_48_64
78,0.07774327064459974,1,flag_median,2,4,gse73072_hrv_48_64
79,0.0667845454166871,2,flag_median,2,4,gse73072_hrv_48_64
80,0.07655713316547708,3,flag_median,2,4,gse73072_hrv_48_64
81,0.07212479105142688,4,flag_median,2,4,gse73072_hrv_48_64
82,0.056362460939478165,0,flag_mean,2,8,gse73072_hrv_48_64
83,0.07417327085225467,1,flag_mean,2,8,gse73072_hrv_48_64
84,0.048770039484922645,2,flag_mean,2,8,gse73072_hrv_48_64
85,0.06959663445966591,3,flag_mean,2,8,gse73072_hrv_48_64
86,0.07212479105142688,4,flag_mean,2,8,gse73072_hrv_48_64
87,0.05400997015705489,0,flag_median,2,8,gse73072_hrv_48_64
88,0.06326493815342271,1,flag_median,2,8,gse73072_hrv_48_64
89,0.05605249932967871,2,flag_median,2,8,gse73072_hrv_48_64
90,0.06959663445966591,3,flag_median,2,8,gse73072_hrv_48_64
91,0.05876775461806205,4,flag_median,2,8,gse73072_hrv_48_64
92,-0.015234960449479251,0,eigengene,1,1,gse73072_hrv_48_64_control
93,0.01429578727968539,1,eigengene,1,1,gse73072_hrv_48_64_control
94,-0.009476426792784931,2,eigengene,1,1,gse73072_hrv_48_64_control
95,-0.0020607650538927436,3,eigengene,1,1,gse73072_hrv_48_64_control
96,0.0348322485695749,4,eigengene,1,1,gse73072_hrv_48_64_control
97,-0.015502160297410361,0,flag_mean,1,1,gse73072_hrv_48_64_control
98,0.007209004486464776,1,flag_mean,1,1,gse73072_hrv_48_64_control
99,-0.0097323099168376,2,flag_mean,1,1,gse73072_hrv_48_64_control
100,-0.02259449416801007,3,flag_mean,1,1,gse73072_hrv_48_64_control
101,0.009217588951516031,4,flag_mean,1,1,gse73072_hrv_48_64_control
102,0.011891343117699904,1,flag_median,1,1,gse73072_hrv_48_64_control
103,-0.014594089273834987,2,flag_median,1,1,gse73072_hrv_48_64_control
104,-0.0328613587250689,3,flag_median,1,1,gse73072_hrv_48_64_control
105,-0.014299760981719922,0,module_expression,1,1,gse73072_hrv_48_64_control
106,0.016700231441670876,1,module_expression,1,1,gse73072_hrv_48_64_control
107,-0.002567582443367633,2,module_expression,1,1,gse73072_hrv_48_64_control
108,0.006141027385018649,0,eigengene,1,2,gse73072_hrv_48_64_control
109,0.010752395883074861,1,eigengene,1,2,gse73072_hrv_48_64_control
110,-0.010274256699539852,3,eigengene,1,2,gse73072_hrv_48_64_control
111,0.029709316645963213,4,eigengene,1,2,gse73072_hrv_48_64_control
112,0.007209826776743533,0,flag_mean,1,2,gse73072_hrv_48_64_control
113,0.01847192713997603,1,flag_mean,1,2,gse73072_hrv_48_64_control
114,-7.392142480910913e-06,3,flag_mean,1,2,gse73072_hrv_48_64_control
115,0.019463452798739622,4,flag_mean,1,2,gse73072_hrv_48_64_control
116,0.0024002295139815555,0,flag_median,1,2,gse73072_hrv_48_64_control
117,-0.0028234655674200804,2,flag_median,1,2,gse73072_hrv_48_64_control
118,0.004099353680342643,3,eigengene,1,4,gse73072_hrv_48_64_control
119,0.018438866414017374,4,eigengene,1,4,gse73072_hrv_48_64_control
120,-0.0005389688132620973,0,flag_mean,1,4,gse73072_hrv_48_64_control
121,0.013283389737796858,1,flag_mean,1,4,gse73072_hrv_48_64_control
122,-0.0020558161952626275,2,flag_mean,1,4,gse73072_hrv_48_64_control
123,-0.0020607650538927436,3,flag_mean,1,4,gse73072_hrv_48_64_control
124,0.0010208978737373808,4,flag_mean,1,4,gse73072_hrv_48_64_control
125,0.015760221910542604,0,flag_median,1,4,gse73072_hrv_48_64_control
126,0.0022941969136298646,2,flag_median,1,4,gse73072_hrv_48_64_control
127,0.02253721195290681,4,flag_median,1,4,gse73072_hrv_48_64_control
128,-0.025254954746900093,0,eigengene,1,8,gse73072_hrv_48_64_control
129,-0.01303894635130809,1,eigengene,1,8,gse73072_hrv_48_64_control
130,-0.026108829856197224,2,eigengene,1,8,gse73072_hrv_48_64_control
131,-0.02259449416801007,3,eigengene,1,8,gse73072_hrv_48_64_control
132,0.015365107259850408,4,eigengene,1,8,gse73072_hrv_48_64_control
133,-0.014166161057754367,0,flag_mean,1,8,gse73072_hrv_48_64_control
134,-0.0043070175525186105,1,flag_mean,1,8,gse73072_hrv_48_64_control
135,-0.012035258033309959,2,flag_mean,1,8,gse73072_hrv_48_64_control
136,-0.004114137965304354,3,flag_mean,1,8,gse73072_hrv_48_64_control
137,-0.034839625591544854,4,flag_mean,1,8,gse73072_hrv_48_64_control
138,0.0032018290577751074,0,flag_median,1,8,gse73072_hrv_48_64_control
139,0.025052511162252156,1,flag_median,1,8,gse73072_hrv_48_64_control
140,0.0010208978737371588,4,flag_median,1,8,gse73072_hrv_48_64_control
141,-0.004870530559839992,2,flag_mean,2,1,gse73072_hrv_48_64_control
142,0.008193002566793783,4,flag_mean,2,1,gse73072_hrv_48_64_control
143,-0.018975758320516123,0,flag_median,2,1,gse73072_hrv_48_64_control
144,0.027330405631501575,1,flag_median,2,1,gse73072_hrv_48_64_control
145,-0.03080798581365707,3,flag_median,2,1,gse73072_hrv_48_64_control
146,0.01829862046588926,0,flag_mean,2,2,gse73072_hrv_48_64_control
147,0.0561837355753283,1,flag_mean,2,2,gse73072_hrv_48_64_control
148,0.011505989379519743,2,flag_mean,2,2,gse73072_hrv_48_64_control
149,0.02463308279446008,3,flag_mean,2,2,gse73072_hrv_48_64_control
150,0.0717173584195796,4,flag_mean,2,2,gse73072_hrv_48_64_control
151,0.025780216207963447,0,flag_median,2,2,gse73072_hrv_48_64_control
152,0.052766893871453835,1,flag_median,2,2,gse73072_hrv_48_64_control
153,0.004341261906049887,2,flag_median,2,2,gse73072_hrv_48_64_control
154,0.030793201528695358,3,flag_median,2,2,gse73072_hrv_48_64_control
155,0.08811074057513713,4,flag_median,2,2,gse73072_hrv_48_64_control
156,0.027116215447619663,0,flag_mean,2,4,gse73072_hrv_48_64_control
157,0.05403239079881472,1,flag_mean,2,4,gse73072_hrv_48_64_control
158,0.006644210022522357,2,flag_mean,2,4,gse73072_hrv_48_64_control
159,0.026686455705871914,3,flag_mean,2,4,gse73072_hrv_48_64_control
160,0.08811074057513713,4,flag_mean,2,4,gse73072_hrv_48_64_control
161,0.02324181765261657,0,flag_median,2,4,gse73072_hrv_48_64_control
162,0.05858817973731356,1,flag_median,2,4,gse73072_hrv_48_64_control
163,0.01867071685298982,2,flag_median,2,4,gse73072_hrv_48_64_control
164,0.026686455705871914,3,flag_median,2,4,gse73072_hrv_48_64_control
165,0.078889463112636,4,flag_median,2,4,gse73072_hrv_48_64_control
166,0.017229821074164153,0,flag_mean,2,8,gse73072_hrv_48_64_control
167,0.05757578219542481,1,flag_mean,2,8,gse73072_hrv_48_64_control
168,0.01867071685298982,2,flag_mean,2,8,gse73072_hrv_48_64_control
169,0.016419591148813195,3,flag_mean,2,8,gse73072_hrv_48_64_control
170,0.0717173584195796,4,flag_mean,2,8,gse73072_hrv_48_64_control
171,0.019634619705545253,0,flag_median,2,8,gse73072_hrv_48_64_control
172,0.054285490184286855,1,flag_median,2,8,gse73072_hrv_48_64_control
173,0.00178243066552497,2,flag_median,2,8,gse73072_hrv_48_64_control
174,0.02257970988304847,3,flag_median,2,8,gse73072_hrv_48_64_control
175,0.05225021710985489,4,flag_median,2,8,gse73072_hrv_48_64_control
176,0.024692650339013467,0,eigengene,1,1,gse73072_hrv_48_64_shedder48_64
177,0.020676590449538068,1,eigengene,1,1,gse73072_hrv_48_64_shedder48_64
178,-0.004790854909868414,2,eigengene,1,1,gse73072_hrv_48_64_shedder48_64
179,-0.017829826666064696,3,eigengene,1,1,gse73072_hrv_48_64_shedder48_64
180,0.014838911484154504,4,eigengene,1,1,gse73072_hrv_48_64_shedder48_64
181,0.008400898270942259,1,flag_mean,1,1,gse73072_hrv_48_64_shedder48_64
182,0.008932499415799988,2,flag_mean,1,1,gse73072_hrv_48_64_shedder48_64
183,0.017017576382860167,2,flag_median,1,1,gse73072_hrv_48_64_shedder48_64
184,0.0033925193437436274,3,flag_median,1,1,gse73072_hrv_48_64_shedder48_64
185,0.015766552171068815,4,flag_median,1,1,gse73072_hrv_48_64_shedder48_64
186,-0.0017029406760553645,1,module_expression,1,1,gse73072_hrv_48_64_shedder48_64
187,0.003932517607223129,2,module_expression,1,1,gse73072_hrv_48_64_shedder48_64
188,-0.012736463623710503,3,module_expression,1,1,gse73072_hrv_48_64_shedder48_64
189,0.007417785988840908,4,module_expression,1,1,gse73072_hrv_48_64_shedder48_64
190,0.022349259635450203,0,eigengene,1,2,gse73072_hrv_48_64_shedder48_64
191,0.005953786848988285,2,eigengene,1,2,gse73072_hrv_48_64_shedder48_64
192,0.00848588238609782,3,eigengene,1,2,gse73072_hrv_48_64_shedder48_64
193,0.018549474231811525,4,eigengene,1,2,gse73072_hrv_48_64_shedder48_64
194,-0.008491994421748972,3,flag_mean,1,2,gse73072_hrv_48_64_shedder48_64
195,0.02276223633314034,2,flag_median,1,2,gse73072_hrv_48_64_shedder48_64
