,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,ebola_Liver_Tolerant,1,1,0,0.9536152741964831,690
0,ebola_Liver_Tolerant,1,1,1,0.5963944790866729,3282
0,ebola_Spleen_Tolerant,1,0,0,0.9765970420946241,2945
0,ebola_Spleen_Tolerant,1,0,1,0.47538221252744445,1066
0,gse73072_hrv_48_64,1,2,0,0.436879245589406,492
0,gse73072_hrv_48_64,1,2,1,0.5085412017612514,1350
0,gse73072_hrv_48_64,1,2,2,0.790924388855561,19
0,gse73072_hrv_48_64,1,2,3,0.5482658104742101,1140
0,gse73072_hrv_48_64,1,2,4,0.48187906415027676,737
0,gse73072_hrv_48_64,1,2,5,0.4540317637894841,336
0,gse73072_hrv_48_64,1,2,6,0.37905752999687936,113
0,gse73072_hrv_48_64,1,2,7,0.6786856795115112,79
0,gse73072_hrv_48_64,1,2,8,0.49254235544633523,1000
0,gse73072_hrv_48_64,1,2,9,0.48774787519651375,708
0,gse73072_hrv_48_64,1,2,10,0.5817244447612072,676
0,gse73072_hrv_48_64,1,2,11,0.3950144537961206,168
0,gse73072_hrv_48_64,1,2,12,0.25456381224549396,410
0,gse73072_hrv_48_64,1,2,13,0.31280060791379316,2623
0,gse73072_hrv_48_64,1,2,14,0.610635158800627,1258
0,gse73072_hrv_48_64,1,2,15,0.3226898560751696,651
0,gse73072_hrv_48_64,1,2,16,0.5020001601196491,357
0,gse73072_hrv_48_64,1,2,17,0.46057174161970293,1663
0,gse73072_hrv_48_64,1,2,18,0.5466967480385164,629
0,gse73072_hrv_48_64,1,2,19,0.2705469894991686,470
0,gse73072_hrv_48_64,1,2,20,0.6009566420473649,726
0,gse73072_hrv_48_64,1,2,21,0.476220099015484,563
0,gse73072_hrv_48_64,1,2,22,0.2514186469079446,175
0,gse73072_hrv_48_64,1,2,23,0.5697736033879441,743
0,gse73072_hrv_48_64,1,2,24,0.35346902646077993,334
0,gse73072_hrv_48_64,1,2,25,0.25053565003073675,112
0,gse73072_hrv_48_64,1,2,26,0.3651666201976636,548
0,gse73072_hrv_48_64,1,2,27,0.5162787598659783,373
0,gse73072_hrv_48_64,1,2,28,0.4460299832032319,774
0,gse73072_hrv_48_64,1,2,29,0.336482466920419,668
0,gse73072_hrv_48_64,1,2,30,0.3671918266191546,633
0,gse73072_hrv_48_64,1,2,31,0.4658816939977291,974
0,gse73072_hrv_48_64,1,2,32,0.5676239014066411,486
0,gse73072_hrv_48_64,1,2,33,0.5268750210064969,289
0,salmonella_Liver,1,2,0,0.5245859795429062,1015
0,salmonella_Liver,1,2,1,0.5640866176287762,799
0,salmonella_Liver,1,2,2,0.3846052767359711,1106
0,salmonella_Liver,1,2,3,0.42111103206573713,4085
0,salmonella_Liver,1,2,4,0.3106259495518951,1099
