,Data Set,Module Refinement Method,Mean Relative Gain
0,salmonella_Liver_susceptible,flag_mean_4_1,-0.15490606383220068
0,salmonella_Liver_susceptible,flag_mean_4_2,-0.5415170531425602
0,salmonella_Liver_susceptible,flag_mean_8_1,4.013858883768464
0,salmonella_Liver_susceptible,flag_mean_8_2,-6.105627248231827e-09
0,salmonella_Liver_susceptible,flag_median_1_1,0.4814706094352782
0,salmonella_Liver_susceptible,flag_median_1_2,0.22708022763045776
0,salmonella_Liver_susceptible,flag_median_2_1,
0,salmonella_Liver_susceptible,flag_median_2_2,-0.6064991272567821
0,salmonella_Liver_susceptible,flag_median_4_1,-0.12206728468460577
0,salmonella_Liver_susceptible,flag_median_4_2,-0.5072068233838449
0,salmonella_Liver_susceptible,flag_median_8_1,4.320619178411318
0,salmonella_Liver_susceptible,flag_median_8_2,0.5371867598152916
0,salmonella_Liver_susceptible,module_expression,0.7050135393066843
0,salmonella_Liver_tolerant,eigengene_1,2.2902316069115103
0,salmonella_Liver_tolerant,eigengene_2,1.7936533867171438
0,salmonella_Liver_tolerant,eigengene_4,1.540884315486591
0,salmonella_Liver_tolerant,eigengene_8,1.3019792162206396
0,salmonella_Liver_tolerant,flag_mean_1_1,2.4826794302519217
0,salmonella_Liver_tolerant,flag_mean_1_2,2.2894771137747445
0,salmonella_Liver_tolerant,flag_mean_2_1,
0,salmonella_Liver_tolerant,flag_mean_2_2,-0.08097687622816878
0,salmonella_Liver_tolerant,flag_mean_4_1,1.866432306242031
0,salmonella_Liver_tolerant,flag_mean_4_2,-0.052933277947636394
0,salmonella_Liver_tolerant,flag_mean_8_1,1.4105722472235993
0,salmonella_Liver_tolerant,flag_mean_8_2,-1.2237908723437366e-08
0,salmonella_Liver_tolerant,flag_median_1_1,2.6298576803071723
0,salmonella_Liver_tolerant,flag_median_1_2,2.352908877007858
0,salmonella_Liver_tolerant,flag_median_2_1,
0,salmonella_Liver_tolerant,flag_median_2_2,-0.08384427458660888
0,salmonella_Liver_tolerant,flag_median_4_1,1.6873241812160462
0,salmonella_Liver_tolerant,flag_median_4_2,0.020390233322947687
0,salmonella_Liver_tolerant,flag_median_8_1,1.2116647933955744
0,salmonella_Liver_tolerant,flag_median_8_2,0.07846005995656224
0,salmonella_Liver_tolerant,module_expression,2.7010964932118995
