,Mean Relative Gain,Std Relative Gain,Center Dimension,Data Dimension,Prototype,Data Set
0,0.14088127351063107,0.0,1,1,module_expression,gse73072_hrv_48_64_True
0,-1.0,0.0,1,1,eigengene,salmonella_Liver
0,-1.0,0.0,2,1,eigengene,salmonella_Liver
0,-1.0,0.0,4,1,eigengene,salmonella_Liver
0,-1.0,0.0,8,1,eigengene,salmonella_Liver
0,-1.0,0.0,1,1,flag_mean,salmonella_Liver
0,-1.0,0.0,1,2,flag_mean,salmonella_Liver
0,-1.0,0.0,2,1,flag_mean,salmonella_Liver
0,-1.0,0.0,2,2,flag_mean,salmonella_Liver
0,-1.0,0.0,4,1,flag_mean,salmonella_Liver
0,-1.0,0.0,4,2,flag_mean,salmonella_Liver
0,-1.0,0.0,8,1,flag_mean,salmonella_Liver
0,-1.0,0.0,8,2,flag_mean,salmonella_Liver
0,-1.0,0.0,1,1,flag_median,salmonella_Liver
0,-1.0,0.0,1,2,flag_median,salmonella_Liver
0,-1.0,0.0,2,1,flag_median,salmonella_Liver
0,-1.0,0.0,2,2,flag_median,salmonella_Liver
0,-1.0,0.0,4,1,flag_median,salmonella_Liver
0,-1.0,0.0,4,2,flag_median,salmonella_Liver
0,-1.0,0.0,8,1,flag_median,salmonella_Liver
0,-1.0,0.0,8,2,flag_median,salmonella_Liver
0,-1.0,0.0,1,1,module_expression,salmonella_Liver
0,-1.0,0.0,1,1,eigengene,salmonella_Liver_susceptible
0,-1.0,0.0,2,1,eigengene,salmonella_Liver_susceptible
0,-1.0,0.0,4,1,eigengene,salmonella_Liver_susceptible
0,-1.0,0.0,8,1,eigengene,salmonella_Liver_susceptible
0,-1.0,0.0,1,1,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,1,2,flag_mean,salmonella_Liver_susceptible
0,,,2,1,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,2,2,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,4,1,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,4,2,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,8,1,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,8,2,flag_mean,salmonella_Liver_susceptible
0,-1.0,0.0,1,1,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,1,2,flag_median,salmonella_Liver_susceptible
