,module 2,module 11,module 16
717,RP24-262G23.4.1,Mrs2,
718,Mcam,2310043D23Rik,
719,Lsm14b,Clec2i,
720,Rfx5,Ighv6-3,
721,Gm11212,Gm17653,
722,Tbc1d12,Cacna1c,
723,C130039O16Rik,Ly6g6c,
724,Tfe3,Cdv3,
725,Gm17371,Tmem40,
726,Rbbp8,Pkn3,
727,4930467K11Rik,Vamp7-ps,
728,Suds3,Spna1,
729,Timp3,Ift81,
730,Gas1,Has2,
731,Slc15a3,Ighv1-85,
732,Gm17272,Gm17719,
733,Hexb,4921525B02Rik,
734,Setd8,N4bp2l2,
735,Mup-ps15,Tmem194,
736,BC056474,Igkv3-10,
737,Tmem42,Tubb1,
738,Kcnab2,Fam163b,
739,Il6,Fam13c,
740,Syce1l,Ccdc81,
741,Fmnl2,Ighv5-9,
742,Kntc1,Krit1,
743,Rrad,Ighv1-42,
744,Hivep1,Ache,
745,F830208F22Rik,Ntpcr,
746,Itprip,Ptprn2,
747,Gm17249,St8sia6,
748,B430305J03Rik,Ighv14-1,
749,Scn8a,9330132A10Rik,
750,Gcn1l1,Sorbs2,
751,Stfa2,Gmpr,
752,Parvg,A630072L19Rik,
753,3110043O21Rik,Zfyve28,
754,Eif2b5,C530008M17Rik,
755,Gm14017,Ighv2-6-8,
756,Cd40,Gpr128,
757,9030418K01Rik,C030017K20Rik,
758,Zswim4,Gm16831,
759,Hdac10,Igkv9-120,
760,Ptgfrn,Prg3,
761,Mll1,Arnt2,
762,BC003266,Rfc5,
763,Psg22,Cep120,
764,Pkd1l2,Akap9,
765,Atp5o,Kdm4d,
766,Aoah,Gm17196,
767,Zyx,Ppil6,
768,Gm15995,Adrm1,
769,Kif5c,Ighv5-4,
770,Cyba,Tmod2,
771,Lpl,AC127419.1,
772,Maml2,Dcaf13,
773,Fam129b,Rbx1,
774,Gm15419,Gm15698,
775,Gm12956,Myo1a,
776,E030024N20Rik,Snx19,
777,Anapc7,Tnnt3,
778,Yjefn3,Vrk1,
779,Edc3,Fry,
780,Arhgap8,Slc18a1,
781,Fuk,Mir466i,
782,Cd86,Gm12936,
783,Enc1,Gm628,
784,Dus4l,Gm13313,
785,Cd93,Tipin,
786,Tle2,Wdr65,
787,Usp20,Cd8a,
788,Gm15559,Cyp4x1,
789,Cep57l1,Gp6,
790,Trim56,Prss16,
791,Slc38a1,Gm11346,
792,Hdac3,Trpc6,
793,Plxdc2,Gm14042,
794,Tubb6,Uba5,
795,D730040F13Rik,Gm17343,
796,Syn1,Gm15880,
797,4933440N22Rik,H2afz,
798,Gm16096,Kcnk12,
799,Hrh2,Gm16737,
800,Serpina3g,Rpl5,
801,Zbp1,Gm9994,
802,Msh3,Zcrb1,
803,Arhgap31,Igkv6-32,
804,Afap1l2,Igkv1-135,
805,Fxyd4,Ascc3,
806,Mctp1,Vit,
807,BC042782,Trav10,
808,Lmod2,Nedd4l,
809,Cyth4,Rpl34,
810,BC035044,Ighd4-1,
811,Anxa2,Syt10,
812,Vac14,Tjp3,
813,Coro7,Trbv17,
814,Akr1b10,Cox4i2,
815,Ano6,Gm11802,
816,Amh,Fbxo27,
817,Ndufa2,Ptpn5,
818,Gm17726,Ccnt1,
819,Naca,Cyp3a44,
820,Cacna1f,Ormdl2,
821,Ubc,Igkv4-71,
822,Pcnxl2,Gm11671,
823,Htr1d,Mtap9,
824,Pxn,Mpl,
825,Dgcr2,Pwp1,
826,4930597O21Rik,Rasl11a,
827,Fli1,Ctnnd2,
828,Prps1,Fam136b-ps,
829,Acot9,Ear6,
830,Bcl2l13,Ddx1,
831,Mcoln2,Eea1,
832,Fastk,Defb1,
833,Ppic,Ssna1,
834,Arfgap3,Gpr137b-ps,
835,Ccr5,Gm17088,
836,Pstpip1,Cd24a,
837,Vps8,Rfc2,
838,Map3k7,Epm2aip1,
839,Nek1,Mir369,
840,Ssbp4,Gjb3,
841,2410018M08Rik,Rchy1,
842,Tmed3,1700092C17Rik,
843,Gm16556,Fam3a,
844,Gm12981,Kif6,
845,Orai2,Tjp2,
846,Ripk3,Bcl11b,
847,St8sia2,Ado,
848,Gm15479,Psmd7,
849,Tifab,Col4a3bp,
850,Naa10,Igkv8-30,
851,Nfam1,Traj2,
852,Cxcl3,Faim3,
853,Klrg1,Synpo2,
854,Ifngr2,Cdkl5,
855,Cd9,Gm16201,
856,Gm13644,Afp,
857,Btk,Gm5151,
858,Tmem168,Ighv9-2,
859,Wdfy4,Gpr173,
860,Gm16896,Igkv4-86,
861,Phpt1,Cd5,
862,Ddx19a,Mapkapk5,
863,Gm16685,Gm16558,
864,Slc2a6,Cpa3,
865,Luc7l2,Igkv4-58,
866,RP23-398K14.3.1,Dennd4c,
867,Rab27a,Tars,
868,Uba7,Gm20521,
869,Prkch,Cpne5,
870,Ddx24,Phgdh,
871,Wrn,Lrrc6,
872,Tmem65,Ubqln4,
873,Ecscr,Gpr63,
874,Gm17525,Sh3rf3,
875,Pde1b,Actl7b,
876,Hk2,1600010F14Rik,
877,Hist1h4k,Lmtk3,
878,1700026L06Rik,Hcrtr1,
879,2810002N01Rik,Gm15511,
880,Gm13626,Gdpd2,
881,Ptplad2,Wfdc15a,
882,Eif4e3.1,Mmrn1,
883,Stat6,Arl5a,
884,Adam15,Igkv12-46,
885,Duox2,Cops4,
886,Duoxa2,Ighv1-52,
887,RP23-286E6.3.1,Igkv5-43,
888,Adam10,Gm14251,
889,Wdr1,Mthfd1l,
890,Ndufa13,Gm17568,
891,Dgcr6,Syt17,
892,Rbl2,Fam5c,
893,Fkbp1b,Trbv14,
894,Mmp7,Usp9x,
895,3930402G23Rik,Cldn10,
896,Foxo4,Nps,
897,Gtl3,Rab15,
898,Tmco6,Klf8,
899,Dido1,Clpx,
900,Tsnax,Ddx25,
901,Bmx,Nccrp1,
902,M6pr,Gm12161,
903,Dynlt1-ps1,Gm15264,
904,Oas1g,Rabl3,
905,Mnat1,Fam109b,
906,Dhrs9,1700003D09Rik,
907,Lama3,Lman1,
908,Phc1,Cdkn1b,
909,Snx10,Rpa3,
910,Fstl1,Rsph6a,
911,Parp9,Cdhr1,
912,Ssbp1,Ptprv,
913,Nop16,Tbc1d10c,
914,Pde6b,Snx3,
915,S100a11,Gm14965,
916,Znhit6,Adra2a,
917,Med22,Gp9,
918,Trp63,Igkj5,
919,AC093451.1,Ighv1-5,
920,Efemp2,Alox5,
921,Bbs4,U12,
922,Coro2a,Gm16218,
923,Auh,Arpp21,
924,Ndufs8,1700099I09Rik,
925,Orc5,Sult2a2,
926,Arhgap10,Snupn,
927,n-R5s67,9430015G10Rik,
928,Lmo4,Tcea1-ps1,
929,Faf1,Ighv1-77,
930,Mir155,D930028M14Rik,
931,2410004B18Rik,Igkv5-37,
932,Bcl9,Myo3b,
933,Tlr4,Myb,
934,Cd44,Gm12249,
935,Fzd9,1500009L16Rik,
936,AF085738,Igkv14-126,
937,1700120B22Rik,Med6,
938,Uqcrh,Ostn,
939,Ube2l6,Gm3550,
940,Cd53,Ighv1-64,
941,Gm16002,Ighv1-23,
942,Vps37c,Rtkn2,
943,Ssh1,Trhde,
944,Cbfa2t2,Blnk,
945,Cttnbp2nl,A430078G23Rik,
946,4930481B07Rik,Gm20535,
947,Gpr68,H2afj,
948,Tgfbr2,Bzw2,
949,Mlxip,Mfsd2b,
950,Jun,Ugt2b37,
951,Gbp5,AC158749.1,
952,Ppp1r3d,Dnajc6,
953,Nckap1l,Igkv5-48,
954,Gm17507,Stk40,
955,Mkln1,G6pc2,
956,Mefv,4930558J18Rik,
957,Tlr8,Bank1,
958,Gm14005,Olfr613,
959,Cd69,Mylip,
960,Mllt10,Gm13270,
961,Tmed8,Ighv2-9-1,
962,Myzap,4930441O14Rik,
963,Mterfd3,Hrh1,
964,Hbegf,Igkv10-94,
965,Ms4a4c,Aff2,
966,2410017P09Rik,Mad2l2,
967,Setbp1,Ighv1-80,
968,Gatsl2,Sec14l5,
969,I830134H01Rik,Syn2,
970,Tnfrsf1b,Rnu3b-ps2,
971,AI504432,C1galt1,
972,Stag2,Mir1905,
973,Spred1,4930422G04Rik,
974,Klrk1,Lactbl1,
975,Ndufa9,Tet3,
976,Morn1,Trappc8,
977,Fem1c,Cenpo,
978,Tnp2,Pcdhb17,
979,RP23-187N14.2.1,Cnr2,
980,Gm10604,Irf4,
981,Nfatc2,Rogdi,
982,Oasl1,Gm17494,
983,Wdr41,Lefty1,
984,Psmb10,Yipf6,
985,Dnmt1,Ighv1-72,
986,Gsdmd,Ahsa1,
987,Chrm4,Camk1g,
988,Mxd1,Amph,
989,Atp11a,Dock7,
990,Txlnb,Gins4,
991,Csdc2,Gpr34,
992,1700066J24Rik,Magt1,
993,Cd226,Ttc28,
994,Osmr,4933421A08Rik,
995,Cxcl9,Ighv9-1,
996,Gm10597,Zfp654,
997,Sdc3,Adnp,
998,Ptger4,Gm14276,
999,Gm10443,Gm13253,
1000,Gpr124,Nsfl1c,
1001,Panx1,2700097O09Rik,
1002,Zdhhc1,2700094K13Rik,
1003,2810428I15Rik,Egln1,
1004,Gm13836,Ighv8-8,
1005,Ly6k,Gm17599,
1006,Zfp202,Gm6612,
1007,Gm12693,Traj1,
1008,Git2,Gm15684,
1009,AL807764.1,Riiad1,
1010,Gm16364,Gm13231,
1011,Celsr3,Ighv2-2,
1012,Zfp518b,Kif16b,
1013,Hook2,Rpl31-ps6,
1014,Lztr1,Gm15326,
1015,Fcgr1,Sema4f,
1016,Gm4262,Tmem167b,
1017,Gm17461,Shb,
1018,Elk3,Ms4a14,
1019,E2f7,Fcrl1,
1020,Tnfaip8l2,Gm1123,
1021,Slc30a9,4930447A16Rik,
1022,1700024N20Rik,Yme1l1,
1023,Rbfa,Tnik,
1024,March1,4930556M19Rik,
1025,1700001C19Rik,Ighv1-26,
1026,C030005K06Rik,Dnm1l,
1027,Ephb2,5031434O11Rik,
1028,Klra7,Tmem55a,
1029,Frzb,Sult3a1,
1030,Osbpl2,Slc6a3,
1031,Trit1,Igfn1,
1032,Ccnl1,Tex10,
1033,Pld4,Cdk2,
1034,Myg1,Abca4,
1035,Rnf114,Suv39h1,
1036,Api5,Gm17638,
1037,Fam151b,Olfr98,
1038,5830454E08Rik,AC110235.1,
1039,Dnase1l1,Cpt1b,
1040,1700040I03Rik,Igkv6-17,
1041,Tnc,AI314831,
1042,Gsg1,Cdca7l,
1043,Pak2,Pold4,
1044,Mx1,1110021L09Rik,
1045,Mapkapk3,Igj,
1046,Gm15701,AL929371.1,
1047,Ssbp3,Arpp19,
1048,Atp8b2,Igkv4-72,
1049,Tbc1d7,Apba3,
1050,Fam119b,6430531B16Rik,
1051,Tmem186,2700081O15Rik,
1052,Gbp9,Gm15063,
1053,4921515J06Rik,Gm14230,
1054,Clec4e,Ighv1-76,
1055,Gm6030,RP23-260N23.12.1,
1056,Rit1,Bglap,
1057,Skap2,Sspn,
1058,Snora28,Pmm1,
1059,Sap25,A430046D13Rik,
1060,Hltf,Spata24,
1061,Selplg,Btbd7,
1062,Grcc10,Rasgrp2,
1063,Src,Sidt1,
1064,1700065I17Rik,Hbb-b1,
1065,Il33,Rpusd4,
1066,Mrpl21,Stam,
1067,Mup-ps8,Ighv1-59,
1068,Muc20,Vps39,
1069,Zbtb1,1600012F09Rik,
1070,Fxn,Tmem170,
1071,Cmpk2,Dmtf1,
1072,Podn,H2afy,
1073,Zfp800,Sltm,
1074,Sirpb1c,Gm6190,
1075,Ppat,Leo1,
1076,Ppt1,Slc12a6,
1077,Ehf,Gm10942,
1078,Ptprj,Gp1bb,
1079,Rom1,Igkv2-137,
1080,Xlr3e-ps,Igkv14-100,
1081,Celf6,Zscan18,
1082,3110001D03Rik,Gm13648,
1083,Terf2ip,Smad5,
1084,Cdc37l1,Ccdc62,
1085,Gm3788,Lrch4.1,
1086,Nmt2,Fcer2a,
1087,Nod1,Ighv3-1,
1088,S100a8,Igkv6-25,
1089,Arhgap26,Ldoc1l,
1090,Mrpl40,Oxct2a,
1091,Cxcl5,9630033F20Rik,
1092,BC006965,Alg12,
1093,Rnf150,Ccne2,
1094,H2afy3,Ighg,
1095,Tmem164,Iglc3,
1096,Ptbp1,Ppp2r3a,
1097,Map4k5,Igkv2-116,
1098,Gm6304,Hyal5,
1099,1700066B19Rik,Gm572,
1100,Cox4nb,5430402O13Rik,
1101,Ipcef1,Erp44,
1102,Npdc1,Igkv4-80,
1103,Scd2,Ighv15-2,
1104,Gm16749,Myo18b,
1105,Cd274,Igkv3-2,
1106,Idh3g,Add3,
1107,Cox4i1,Olfr101,
1108,Tfec,Prss34,
1109,Trdv5,Ighv1-61,
1110,Unc13a,E130306D19Rik,
1111,Ctsf,Trav19,
1112,Ptpn6,B3gnt5,
1113,Gm4477,Bpifb4,
1114,Procr,Ighv1-4,
1115,Mertk,Traj15,
1116,Sacs,Grk6,
1117,Fam165b,Gm12618,
1118,Snx20,Ighv1-22,
1119,Nap1l2,Igkv14-130,
1120,Gm12523,Gfod2,
1121,A4galt,1700007K13Rik,
1122,Pop7,D5Ertd579e,
1123,Sirpa,Fam65c,
1124,Phactr1,Elmod2,
1125,Nkd1,Gm16710,
1126,Aak1,Ighv5-12,
1127,A430105I19Rik,Gins1,
1128,Pmch,Gm14048,
1129,Lrrc63,Rnf19a,
1130,Cdnf,Ighv1-49,
1131,Heg1,Igkj4,
1132,Ccdc36,Klrc2,
1133,Polr2j,Gm20429,
1134,Emilin1,Nrgn,
1135,Cnksr3,Gm14769,
1136,Slc9a1,Cr2,
1137,Egr3,Nt5c3,
1138,Renbp,Gm10419,
1139,Surf2,Il20ra,
1140,Naa35,Zfp600,
1141,Mettl8,1700029H14Rik,
1142,Lrrc25,Dgkz,
1143,Elovl7,Gm15657,
1144,Disc1,Hes5,
1145,Ppap2a,Gm12892,
1146,Plekho2,Agap2,
1147,Vps13d,Prkd1,
1148,Kcnk13,Ighv1-53,
1149,Klf4,Asns,
1150,Rnaseh1,5830444B04Rik,
1151,A630077J23Rik,Atcay,
1152,Ubtd1,Nwd1,
1153,Immp1l,F730016J06Rik,
1154,Myh9,Igkv8-19,
1155,Lrguk,Eif3d,
1156,Ppp6c,Gm11362,
1157,Acyp1,AC073553.3,
1158,Clca1,Ptchd1,
1159,Stoml2,Ighv1-36,
1160,Gm1332,Gm11263,
1161,Chmp3,Slc9a2,
1162,Kif15,Prpf40a,
1163,Cry2,Igkv4-63,
1164,Txnl4b,RP23-71G16.1.1,
1165,Dtnbp1,Piwil4,
1166,Flna,Gm13032,
1167,Gm13179,Igkv4-53,
1168,Tmem203,Poc1a,
1169,Pigy,Krt86,
1170,Hmox1,Ighv1-9,
1171,Gm15658,Kcnma1,
1172,Rps6ka3,Tcp11,
1173,RP23-459I1.1.1,Tnfrsf13c,
1174,Gm16118,Acss3,
1175,Leprot,Grap2,
1176,Krt4,Glp1r,
1177,1700022I11Rik,Ighv10-1,
1178,Nckap5l,Rwdd4a,
1179,Gm13773,Cpa6,
1180,Golph3l,Cyp3a16,
1181,4931422A03Rik,Arxes2,
1182,Sult1c2,Gpd2,
1183,Muc13,Stmn2,
1184,Kctd19,Trav1,
1185,Zbtb34,Socs2,
1186,Lyrm4,U1,
1187,Tnfsf10,Sdcbp2,
1188,Eno4,Gk5,
1189,Ppapdc2,Hoxc5,
1190,9130230L23Rik,Ighv5-6,
1191,Gm14439,Cdx4,
1192,Trappc5,Gm11773,
1193,Akt1,9230111E07Rik,
1194,Tlr13,Kcnmb4,
1195,Gm15418,Rsph4a,
1196,D930007J09Rik,Ube2k,
1197,Dopey2,Neurl1a,
1198,Pex10,Gm7901,
1199,Aurkaip1,Gm15148,
1200,Myo9b,Lef1,
1201,Cxcl2,Maoa,
1202,Gm8330,Gm11967,
1203,Ttc12,Ccdc34,
1204,D130040H23Rik,Trim33,
1205,Ndufv1,Tnfsf11,
1206,Csf1,Trbv29,
1207,L1cam,Tubgcp3,
1208,Trpm2,Gm5127,
1209,Serpina3d-ps,Igkv6-15,
1210,Ranbp2,Ttn,
1211,Ift52,Ppp1r3e,
1212,Senp1,Twistnb,
1213,Sdcbp,Ighv7-3,
1214,Gm17711,Atf4,
1215,Glg1,5830405N20Rik,
1216,Hif1a,Gm16220,
1217,Tlr11,Gm11828,
1218,Gm10819,2010007H06Rik,
1219,Gm15478,Lypd6b,
1220,Olfr541,Gm15415,
1221,Ube2h,Tada2b,
1222,Fahd2a,Shank1,
1223,Mospd3,Ribc1,
1224,Atg4d,Gm16336,
1225,Alg6,Gm17532,
1226,Gm16267,Gm13727,
1227,Trmu,Ighj1,
1228,Ppm1m,Snph,
1229,Ankrd22,Camp,
1230,1700042O10Rik,Oip5,
1231,Meig1,Igkv5-39,
1232,Gpr107,Lonrf3,
1233,AL591496.1,Igkv4-50,
1234,March8,Jakmip1,
1235,Itgb1,Igkv1-110,
1236,Mup-ps2,Ddx3x,
1237,Rg9mtd3,Pnpla3,
1238,1700037C18Rik,Smc6,
1239,Tbk1,Fam76a,
1240,Vsig2,Slc39a3,
1241,C330021F23Rik,S1pr4,
1242,Vdac3,Klhdc1,
1243,2810417H13Rik,Gm17675,
1244,Pilra,Igkv6-14,
1245,Ranbp6,Pi4k2b,
1246,Retnlg,Rcor2,
1247,Eno2,Nt5e,
1248,Hey2,Gm10354,
1249,Efhd2,Xkr5,
1250,Cep55,E2f6,
1251,Aqp3,Napg,
1252,Stard3nl,Cdkl1,
1253,Lynx1,Loxhd1,
1254,Gm336,Zfp704,
1255,Timm10,Shc3,
1256,Gm14537,Usp51,
1257,Bub1b,Tceal8,
1258,Lrrc33,Epgn,
1259,Usmg5,Gm13898,
1260,Sun3,H2-M2,
1261,Stx3,Igkv1-133,
1262,Nbeal2,Tdp1,
1263,Gm6863,Clock,
1264,Cfp,Cacna1i,
1265,Mrps15,Osbp,
1266,Gm10614,Crkl,
1267,Trim46,Ighj4,
1268,C1qtnf6,Cebpe,
1269,Lpcat2,Tril,
1270,Gm807,0610030E20Rik,
1271,Gm6551,Gm15572,
1272,Strbp,Ighv2-5,
1273,Zdhhc23,Tpo,
1274,Ifi30,Tom1,
1275,4930534B04Rik,Gm10964,
1276,Tlr9,Rpl36al,
1277,Chst12,Gm4794,
1278,Sowahc,Igkv4-91,
1279,Il17ra,2010001M09Rik,
1280,Kit,Gnaz,
1281,4921518J05Rik,Gm13034,
1282,Ehmt1,Ighv1-62-3,
1283,Ocrl,Slc38a9,
1284,Bcat1,Zfp655,
1285,Rbm25,Rpl6,
1286,Gm10606,Upk1a,
1287,Ms4a6c,Sfn,
1288,Atp7a,Ptprr,
1289,Cd97,BC031181,
1290,Cysltr2,Gm12798,
1291,Gm15051,Ldhc,
1292,Trafd1,Rhcg,
1293,Akr1b8,Olfr545,
1294,Arl6ip5,Gm7689,
1295,5930403N24Rik,Cbwd1,
1296,Pbk,Cyp2c39,
1297,Oaz3,Spc25,
1298,Pqbp1,Ighv14-2,
1299,Coro1b,Gm11914,
1300,Itgb2,Tonsl,
1301,Samhd1,Psmd4,
1302,Oas1b,Ighv1-34,
1303,Per3,Elane,
1304,Irak3,BC030307,
1305,Gm17270,Igkv14-111,
1306,Pigz,Ltbp2,
1307,D130007C19Rik,Ighv1-7,
1308,Cd200r1,Mir192,
1309,Man1c1,Ganab,
1310,Hps3,Gm10485,
1311,2610002I17Rik,Gm4631,
1312,Ms4a8a,Gm15373,
1313,Gm608,Ccdc109a,
1314,Gm13212,Ly6g6f,
1315,8430427H17Rik,Atmin,
1316,Gbp6,Cd4,
1317,Gm10912,Eif2s1,
1318,1600029I14Rik,Gbx2,
1319,Gm9157,Lrrn2,
1320,Znrf2,Cd8b1,
1321,Mapre2,Gm10778,
1322,Eif3b,Fcrla,
1323,Gm17362,Tnfsf8,
1324,Heatr8,Tmem181c-ps,
1325,Kdelr3,4930520O04Rik,
1326,A330033J07Rik,Cyp11b2,
1327,Limk1,Col16a1,
1328,Serpinb9,Ephb6,
1329,Adar,Rab27b,
1330,Gpr33,Gm17552,
1331,Gm9581,Olfr558,
1332,Gm16630,Il11ra1,
1333,Hck,Igkv4-70,
1334,Tarm1,A430093F15Rik,
1335,Rem1,Trbv16,
1336,Mfhas1,Gm10433,
1337,Glis3,Sin3a,
1338,Rraga,Scg5,
1339,Nhsl2,1810074P20Rik,
1340,Sestd1,Tiam1,
1341,Atp5c1,Lrit1,
1342,Mfsd7a,Zfp9,
1343,Gm13991,Igkv5-45,
1344,Zfp91,Dnajc14,
1345,AI429214,Igkv8-28,
1346,Mmp12,Gm14321,
1347,Zufsp,Gm15561,
1348,Irg1,Mab21l2,
1349,2010003O02Rik,Slc43a1,
1350,Parp11,Klri1,
1351,Slc16a9,Tradd,
1352,Tigd2,Ppp1r3c,
1353,D2Wsu81e,Ighv1-50,
1354,Ifng,Nudt17,
1355,Clp1,Gm17419,
1356,Adamts3,Gm6226,
1357,Elac1,AC115293.1,
1358,4921513D11Rik,Thyn1,
1359,Sbds,Ppp2r1b,
1360,Armcx4,Trbv5,
1361,Cbx7,Gm4285,
1362,Crbn,Mark3,
1363,Haus7,Gm16236,
1364,Hdac9,Zfp831,
1365,Gm15354,Gm15911,
1366,Col4a2,Lipn,
1367,Etv3,Bbs5,
1368,Wbscr27,Mms22l,
1369,Pldi,Olfr166,
1370,Nat10,Gm13364,
1371,2510009E07Rik,Kndc1,
1372,Gle1,Igkv19-93,
1373,Gm12336,Tnfrsf4,
1374,Pfkfb3,Gm9923,
1375,BC065397,A430072P03Rik,
1376,Vim,B230312A22Rik,
1377,Tgfb3,Chit1,
1378,Birc2,Igkv3-5,
1379,Spc24,,
1380,Rasl12,,
1381,Elmo2,,
1382,Ppp4r1l-ps,,
1383,Eya4,,
1384,Gpbp1l1,,
1385,Oas3,,
1386,Gm17388,,
1387,Ddx4,,
1388,Fbn2,,
1389,Pla2g15,,
1390,Map2k7,,
1391,Impdh1,,
1392,Psap,,
1393,Egr2,,
1394,Epsti1,,
1395,Irf8,,
1396,Gltp,,
1397,Fkbp3,,
1398,Serpina3f,,
1399,Eif3i,,
1400,RP23-358B23.3.1,,
1401,5330426P16Rik,,
1402,1700010K24Rik,,
1403,Gm14378,,
1404,Cd248,,
1405,Slc25a36,,
1406,Pml,,
1407,Gm9888,,
1408,Spink5,,
1409,Gm15917,,
1410,Icam1,,
1411,Chst11,,
1412,Olr1,,
1413,Mgll,,
1414,Gpr160,,
1415,Rasgef1b,,
1416,Slc9a8,,
1417,Ido1,,
1418,5430437P03Rik,,
1419,Stxbp1,,
1420,Supv3l1,,
1421,4930473A06Rik,,
1422,Wars,,
1423,Topors,,
1424,4933426M11Rik,,
1425,4930538K18Rik,,
1426,Wwox,,
1427,Tbc1d23,,
1428,Gm15928,,
1429,Tcrg-C,,
1430,Enpp2,,
1431,Nfkbiz,,
1432,Ywhah,,
1433,Maged2,,
1434,Gm16728,,
1435,Lmod3,,
1436,Spata2,,
1437,Dyrk4,,
1438,Tmco4,,
1439,Lmnb2,,
1440,Tlr2,,
1441,Krt23,,
1442,Accn2,,
1443,Zfyve19,,
1444,Nudt8,,
1445,Ust,,
1446,D830050J10Rik,,
1447,Zeb2,,
1448,Gpx7,,
1449,Gja4,,
1450,Ciita,,
1451,Il2rg,,
1452,Fam105a,,
1453,Nox4,,
1454,Tmem67,,
1455,Pax9,,
1456,Stx2,,
1457,Fyb,,
1458,1700028I16Rik,,
1459,Zer1,,
1460,Commd8,,
1461,Katnal1,,
1462,Gm867,,
1463,Sh3tc1,,
1464,Adrbk2,,
1465,Sgcb,,
1466,Ptpro,,
1467,Arhgap9,,
1468,Gpr132,,
1469,Clnk,,
1470,Snx12,,
1471,Pgam5,,
1472,Abi1,,
1473,Bola3,,
1474,Mmp9,,
1475,Kirrel3,,
1476,Nlrc5,,
1477,Asah1,,
1478,Srgn,,
1479,Lcp1,,
1480,Surf1,,
1481,Lrrc8c,,
1482,Sirpb1a,,
1483,Pdk3,,
1484,2310043M15Rik,,
1485,Nptx1,,
1486,Pdcd4,,
1487,Htr7,,
1488,Gm9917,,
1489,Rfx8,,
1490,Gm4596,,
1491,Gpr18,,
1492,Gbgt1,,
1493,1110038F14Rik,,
1494,Gpr141,,
1495,Gm10657,,
1496,Prdm4,,
1497,Atf2,,
1498,Gm16015,,
1499,Hist1h3e,,
1500,6330418K02Rik,,
1501,AI480526,,
1502,Tiparp,,
1503,Snrpd3,,
1504,Gm10134,,
1505,Atad3a,,
1506,Hpcal1,,
1507,Plekhg4,,
1508,Klrc3,,
1509,Tshz1,,
1510,Pitrm1,,
1511,Sepn1,,
1512,Slc2a8,,
1513,Tmem14c,,
1514,Paip2b,,
1515,Chi3l7,,
1516,Gm2115,,
1517,Gm5620,,
1518,Gpr84,,
1519,5031425F14Rik,,
1520,Pum1,,
1521,Gad1-ps,,
1522,Fbxl6,,
1523,Creg2,,
1524,Magohb,,
1525,Hoxa1,,
1526,Adamts9,,
1527,Gm12841,,
1528,Plcg2,,
1529,Mrpl35,,
1530,Mrpl11,,
1531,Blvra,,
1532,Tnfaip6,,
1533,Ly6c1,,
1534,Dpep2,,
1535,Sox18,,
1536,Vegfb,,
1537,Oaz1,,
1538,Gpr15,,
1539,Gm17509,,
1540,Nras,,
1541,Twf2,,
1542,Shisa5,,
1543,Abcc5,,
1544,Eno1,,
1545,Sass6,,
1546,Ndufa4,,
1547,E330016A19Rik,,
1548,Slc35c1,,
1549,Iqch,,
1550,Gm10644,,
1551,App,,
1552,Gm20412,,
1553,Bin2,,
1554,Fabp4,,
1555,Csnk1g1,,
1556,Syce3,,
1557,Hmgn1,,
1558,Zc3h12a,,
1559,Eif2ak3,,
1560,Eif5a2,,
1561,Usp25,,
1562,Ccrl2,,
1563,A530099J19Rik,,
1564,Seh1l,,
1565,Abtb2,,
1566,Rasgrf1,,
1567,Ccl25,,
1568,Upf1,,
1569,2610008E11Rik,,
1570,Ppcdc,,
1571,Atp5e,,
1572,Tmem26,,
1573,Rhoh,,
1574,Pip4k2a,,
1575,Mir1948,,
1576,2810422J05Rik,,
1577,Pdgfra,,
1578,Ttc13,,
1579,Gm17351,,
1580,Oasl2,,
1581,4930583H14Rik,,
1582,Tmem171,,
1583,Lypla2,,
1584,Nhs,,
1585,Vcam1,,
1586,Pgd,,
1587,Gm15845,,
1588,Heyl,,
1589,Dalrd3,,
1590,Ddb1,,
1591,Ttll7,,
1592,Casp4,,
1593,Timm44,,
1594,Trdj1,,
1595,Snx21,,
1596,1700028E10Rik,,
1597,B330016D10Rik,,
1598,Slc2a1,,
1599,2010107G23Rik,,
1600,Gm14794,,
1601,Mnd1,,
1602,Gm9877,,
1603,Fbxw2,,
1604,Gpr151,,
1605,Lrrk2,,
1606,Gm11194,,
1607,Gm20519,,
1608,Cxcl1,,
1609,Dr1,,
1610,Scn5a,,
1611,Gm11874,,
1612,Gm17505,,
1613,Max,,
1614,Gm5420,,
1615,Riok3,,
1616,Cbfb,,
1617,Cstb,,
1618,P2ry13,,
1619,1700040D17Rik,,
1620,Gm15860,,
1621,Thap7,,
1622,Naip6,,
1623,Mtap7d1,,
1624,1110046J04Rik,,
1625,Ccr2,,
1626,2900053A13Rik,,
1627,Atp8b4,,
1628,I830077J02Rik,,
1629,Coq6,,
1630,Gm13523,,
1631,Gadd45g,,
1632,1600020E01Rik,,
1633,Far2,,
1634,Gm16603,,
1635,Imp3,,
1636,Agtrap,,
1637,Gm5475,,
1638,Itga1,,
1639,Fam185a,,
1640,Fam193b,,
1641,Samd3,,
1642,Napepld,,
1643,Fyttd1,,
1644,Gm12857,,
1645,Scn2b,,
1646,Ly75,,
1647,1700020O03Rik,,
1648,Runx1,,
1649,Il11,,
1650,Gna15,,
1651,Trbv19,,
1652,Atp13a2,,
1653,C130050O18Rik,,
1654,Stfa2l1,,
1655,C1qtnf3,,
