,module 2,module 11,module 16
149,Gm16602,Ighv10-3,Hmcn1
150,Lims1,Gm3452,Des
151,Dnajb6,Gm15503,Mcm6
152,Gnai2,Ighv2-3,Barhl1
153,Pik3r2,B230216G23Rik,Tnfrsf11a
154,Klra17,Pole,Fcrlb
155,Irf5,Igkv4-68,Il18r1
156,3110047P20Rik,Sumo3,Ankrd23
157,2400009B08Rik,Padi4,Gm10521
158,Adam17,Ighv5-16,Ifi202b
159,D4Ertd22e,Trpm1,Slc41a1
160,Rarg,Scrg1,Cyb5r1
161,Pop1,A730068I03Rik,Mir425
162,Atp6v0a4,Igkv3-12,Zfp273
163,Glt25d1,Usp53,Gm15663
164,Ube2e3,Pan3,Atp1a4
165,Gm15735,Trbv12-1,Snord87
166,Cdc25a,Igkv12-38,Inpp5d
167,Rgr,Gm14412,Gpr35
168,Rgs12,AW555464,Kif1a
169,B930094E09Rik,Kcnc1,Ptprc
170,Gtf3c2,Ermap,Fcgr3
171,Prpf6,Treml1,Ica1l
172,Samd15,Gm10371,Gm15853
173,Prickle2,Gm1866,Aspm
174,Kcnd1,Trav21-dv12,Fam166a
175,Zfp866,Gm11295,Stxbp5l
176,Cd38,Begain,Mybl1
177,Ctss,Gm14018,Gpr161
178,Pcmtd2,Gprin3,Gm14418
179,Myd88,Gm15563,Bai2
180,Cx3cl1,2810002D19Rik,Gm16587
181,Vdr,Igkv8-21,Cd34
182,Gm13571,Musk,Gm6286
183,Map3k9,Gm16786,Sp140
184,Ndufb11,Ighg2c,Icos
185,Rps6ka4,Gm15156,Med28
186,Sbno2,Gm9843,Gm2174
187,Lama5,Igkv12-89,Nlrp9c
188,Xrcc6bp1,Hoxa4,Slc4a3
189,Rapgef3,Tigd3,Cd247
190,Ppef2,Ppbp,Mtmr14
191,Serpina3e-ps,Vamp5,Mfi2
192,Rbm4b,Psma3,4930500M09Rik
193,Ccin,Gm12500,Gm7609
194,Prss32,Mir5133,AC141438.1
195,AL732357.1,Tes3-ps,Il22ra2
196,Gm13091,Zfp759,D3Bwg0562e
197,Pmpca,Tdrd7,Plcl1
198,Prkg1,Ighv1-69,Amigo3
199,Fut4,Mlh3,Tmem194b
200,Aven,AC073553.2,AC160757.1
201,BC037032,Zfp275,4933406J08Rik
202,F830045P16Rik,Gm14040,4930598A11Rik
203,Psmc3,Gm17481,Fcamr
204,C1qb,2200002J24Rik,5730446D14Rik
205,Palm,Net1,C130080G10Rik
206,Acpp,Plekha3,Fam110a
207,Grhl1,AC132957.1,4930448D08Rik
208,Trim8,Sowahd,5730559C18Rik
209,Gm15347,Igkv12-98,Gm17448
210,Gm9479,Igkv6-23,D630023F18Rik
211,Tmem2,Psmc2,Exo1
212,Apitd1,Pnpla5,Epha4
213,C530005A16Rik,Gm15877,Gm13829
214,Shank3,Gm16139,Pdcd1
215,Myo9a,Amelx,Ntf5
216,Trpm7,Thsd7b,Marco
217,Afg3l2,Ighv14-4,1700090G07Rik
218,Gnas,Gm4221,Spats2l
219,Plcb2,Snca,Glmn
220,Celf2,2410057H14Rik,Hephl1
221,Msto1,Trav14n-3,Fam129a
222,Csf1r,Serpina1f,Ysk4
223,Dsg1b,Gfi1b,Gls
224,Bcl2a1b,Acot3,Olfr178
225,Gm711,Gm16260,Gm12867
226,Sdf2l1,Gm10540,Gm15132
227,Fubp3,Cyp3a41a,Ube2t
228,Pilrb1,Gm11830,Ptprn
229,Atad2,4930417H01Rik,Pvalb
230,1700029I15Rik,Gm7551,Sgol2
231,Lonrf1,Add2,Kcnj9
232,Tpst2,Ceacam10,Gm10364
233,Lyn,4930432B10Rik,Vmn1r184
234,Zswim6,2210417A02Rik,Batf3
235,Krr1,Gm16322,Ankmy1
236,Gbp3,Padi1,Gm10561
237,Gm6297,Jagn1,Gm5069
238,1700045I19Rik,Gm12701,Ran
239,Gm10197,Sgcg,Atp1a2
240,Ssh3,Atf1,Gm15452
241,Gm12405,4930579G24Rik,Cd244
242,0610025J13Rik,Msl3,B230216N24Rik
243,Gm15477,Gm13139,Rpl18-ps2
244,Mycl1,Gm13320,Slc30a8
245,Casz1,Pnrc1,Stat4
246,Abcg2,Sh2d3c,Ier5
247,Gm17491,Plxna3,Capns2
248,Plac8,Igkv4-61,Gm14762
249,3110003A17Rik,Mir30c-2,Gm10463
250,Erp29,E130215H24Rik,Cxcr7
251,Ppm1j,Prg2,Ccdc37
252,A330040F15Rik,9330198N18Rik,Ikbke
253,Rap1gap,Ngp,Guca2a
254,Rgs19,Cenpa,Traf5
255,Tmem156,2810432L12Rik,Csnk2a1
256,Hmbs,Lingo1,Tmem163
257,1700007L15Rik,Cxcr3,Actr3
258,Tmem87a,Fam45a,Fam132b
259,Adnp2,Frem1,Gm15900
260,Robo1,Gm16105,Gm9788
261,Csf3r,Lypd3,Uck2
262,Synpr,Mynn,Gm16193
