,module 2,module 11,module 16
708,Slc38a1,Cep120,
709,Hdac3,Kdm4d,
710,Plxdc2,Gm17196,
711,Tubb6,Ppil6,
712,D730040F13Rik,Adrm1,
713,Syn1,Ighv5-4,
714,4933440N22Rik,AC127419.1,
715,Gm16096,Cox6b2,
716,Hrh2,Dcaf13,
717,Serpina3g,Rbx1,
718,Zbp1,Gm15698,
719,Msh3,Tnnt3,
720,Arhgap31,Mir194-2,
721,Afap1l2,Slc18a1,
722,Fxyd4,Gm12936,
723,Mctp1,Gm20517,
724,BC042782,Gm628,
725,Cyth4,Gm13313,
726,BC035044,Wdr65,
727,Anxa2,Cd8a,
728,Vac14,Cyp4x1,
729,Coro7,Gp6,
730,Akr1b10,Prss16,
731,Ano6,Gm11346,
732,Pcdhb19,Trpc6,
733,Amh,Grid1,
734,Gm17726,Gm14042,
735,Naca,Gm17343,
736,Cacna1f,Kcnk12,
737,Pcnxl2,Gm16737,
738,Pxn,Zcrb1,
739,Dgcr2,Igkv6-32,
740,4930597O21Rik,Gm13303,
741,Fli1,Igkv1-135,
742,Prps1,Vit,
743,Acot9,Trav10,
744,Bcl2l13,Nedd4l,
745,Mcoln2,Csde1,
746,Ppic,Ighd4-1,
747,Arfgap3,Serpina1c,
748,Ccr5,Syt10,
749,Pstpip1,Trbv17,
750,Vps8,Cox4i2,
751,Map3k7,Gm11802,
752,Ssbp4,Cyp3a44,
753,Sh3bgr,Igkv4-71,
754,2410018M08Rik,Gm16015,
755,Tmed3,Gm11671,
756,Gm12981,Mtap9,
757,Orai2,Mpl,
758,Ripk3,Pwp1,
759,St8sia2,Rasl11a,
760,Gm15479,Gm10151,
761,Tifab,Ctnnd2,
762,Muc1,Ear6,
763,Naa10,Ddx1,
764,Nfam1,Defb1,
765,Cxcl3,Scarna2,
766,Klrg1,Gpr137b-ps,
767,Ifngr2,Gm12654,
768,Cd9,Gm12426,
769,Btk,Rfc2,
770,Tmem168,Epm2aip1,
771,Wdfy4,Mir369,
772,Gm16896,Gm12841,
773,Phpt1,4732444A12Rik,
774,Ddx19a,Gjb3,
775,Gm16685,1700092C17Rik,
776,Slc2a6,Fam3a,
777,Luc7l2,Kif6,
778,RP23-398K14.3.1,Tjp2,
779,Rab27a,Bcl11b,
780,Uba7,Psmd7,
781,Prkch,Sass6,
782,Ddx24,Col4a3bp,
783,Wrn,Igkv8-30,
784,Tmem65,Traj2,
785,Ecscr,Frmd6,
786,Gm17525,Cdkl5,
787,Pde1b,Gm16201,
788,Hk2,Afp,
789,Hist1h4k,Atp6v0b,
790,1700026L06Rik,Ighv9-2,
791,2810002N01Rik,Gpr173,
792,Gm13626,Igkv4-86,
793,Ptplad2,Zbtb25,
794,Eif4e3.1,Cd5,
795,Stat6,Gm16558,
796,Adam15,Cpa3,
797,Duox2,Igkv4-58,
798,Duoxa2,Dennd4c,
799,RP23-286E6.3.1,AC152062.1,
800,Adam10,Gm20521,
801,Wdr1,Cpne5,
802,Rbl2,Trav8-1,
803,Mmp7,Phgdh,
804,3930402G23Rik,Lrrc6,
805,Foxo4,Gpr63,
806,Gtl3,Sh3rf3,
807,Tmco6,Actl7b,
808,Dido1,1600010F14Rik,
809,Tsnax,Lmtk3,
810,Slc7a7,Hcrtr1,
811,M6pr,Mir3470b,
812,Dynlt1-ps1,Gdpd2,
813,Oas1g,Wfdc15a,
814,Mnat1,Mmrn1,
815,Dhrs9,Arl5a,
816,Lama3,Igkv12-46,
817,Phc1,Gm10593,
818,Snx10,Gm16625,
819,Parp9,Ighv1-52,
820,Ssbp1,Igkv5-43,
821,Nop16,Gm14251,
822,S100a11,Mthfd1l,
823,Znhit6,Gm17568,
824,Med22,Syt17,
825,Trp63,Fam5c,
826,AC093451.1,Trbv14,
827,Efemp2,Prmt6,
828,Coro2a,Cldn10,
829,Auh,Klf8,
830,Ndufs8,Nccrp1,
831,Orc5,Gm12161,
832,n-R5s67,Rabl3,
833,Lmo4,1700003D09Rik,
834,Faf1,Mrgpra2b,
835,Mir155,Rpa3,
836,2410004B18Rik,Rsph6a,
837,Bcl9,Mirlet7d,
838,Tlr4,Ptprt,
839,Cd44,Cdhr1,
840,Fzd9,Ptprv,
841,AF085738,Snx3,
842,Uqcrh,Igkj5,
843,Ube2l6,Ighv1-5,
844,Cd53,U12,
845,Gm16002,Gm16218,
846,Vps37c,Arpp21,
847,Cbfa2t2,Gm9670,
848,Cttnbp2nl,1700099I09Rik,
849,4930481B07Rik,Gm15471,
850,Gm6361,Snupn,
851,Tgfbr2,9430015G10Rik,
852,Mlxip,Tcea1-ps1,
853,Jun,Ighv1-77,
854,Gbp5,9530048J24Rik,
855,Ppp1r3d,Myb,
856,Nckap1l,Gm12249,
857,Gm17507,Gm17408,
858,Mkln1,1500009L16Rik,
859,Mefv,Ostn,
860,Tlr8,Gm3550,
861,Gm14005,Gm12708,
862,RP24-399B3.1.1,Tktl1,
863,Mllt10,Ighv1-64,
864,Tmed8,Ighv1-23,
865,Myzap,Rtkn2,
866,Hbegf,Trhde,
867,Ms4a4c,Slit1,
868,2410017P09Rik,A430078G23Rik,
869,Setbp1,Zcwpw1,
870,Gatsl2,Kcnab1,
871,Tnfrsf1b,Gm20535,
872,AI504432,H2afj,
873,Stag2,Bzw2,
874,Spred1,Mfsd2b,
875,Klrk1,Klra5,
876,Gm5555,Ugt2b37,
877,Gm1564,AC158749.1,
878,Morn1,Dnajc6,
879,Fem1c,Igkv5-48,
880,Tnp2,Gng10,
881,RP23-187N14.2.1,G6pc2,
882,Gm10604,Gm19684,
883,Nfatc2,Olfr613,
884,Oasl1,Gm13270,
885,Wdr41,Ighv2-9-1,
886,Psmb10,4930441O14Rik,
887,Gsdmd,Gm10068,
888,Chrm4,Hrh1,
889,Mxd1,Igkv10-94,
890,Atp11a,Aff2,
891,Txlnb,Mad2l2,
892,Csdc2,Ighv1-80,
893,Cd226,Sec14l5,
894,Osmr,Rnu3b-ps2,
895,Cxcl9,Aspn,
896,Gm10597,C1galt1,
897,Sdc3,Mir1905,
898,AC149056.1,4930422G04Rik,
899,Ptger4,Lactbl1,
900,Gpr124,Tet3,
901,Panx1,Trappc8,
902,Zdhhc1,Cenpo,
903,2810428I15Rik,Cnr2,
904,Gm13836,Enox,
905,Zfp202,Irf4,
906,Gm12693,Rogdi,
907,Gm16364,Gm17494,
908,Celsr3,Lefty1,
909,Hook2,Yipf6,
910,Fcgr1,Ighv1-72,
911,Gm4262,Camk1g,
912,Gm17461,Amph,
913,Elk3,Dock7,
914,E2f7,Gpr34,
915,Tnfaip8l2,Lgals8,
916,Rbfa,4933421A08Rik,
917,March1,Ighv9-1,
918,C030005K06Rik,Zfp654,
919,Ephb2,Gm13031,
920,Klra7,Gpr1,
921,Frzb,2310003L22Rik,
922,Trit1,Gm13253,
923,Ccnl1,Nsfl1c,
924,Pld4,2700097O09Rik,
925,Myg1,2700094K13Rik,
926,Api5,Egln1,
927,Fam151b,Gm14022,
928,5830454E08Rik,Ighv8-8,
929,Dnase1l1,Ect2,
930,1700040I03Rik,Trav9d-1,
931,Tnc,Traj1,
932,Gsg1,Gm15684,
933,Pak2,Riiad1,
934,Mx1,Gm13231,
935,Mapkapk3,Ighv2-2,
936,Gm15701,Kif16b,
937,Ssbp3,Rpl31-ps6,
938,Atp8b2,Gm15326,
939,Chchd7,Sema4f,
940,Tbc1d7,Ms4a14,
941,Tmem186,4930447A16Rik,
942,Gbp9,Yme1l1,
943,Clec4e,Tnik,
944,Gm6030,4930556M19Rik,
945,Rit1,Ighv1-26,
946,Skap2,Dnm1l,
947,Snora28,Trdv2-2,
948,Hltf,5031434O11Rik,
949,Selplg,Sult3a1,
950,Grcc10,Slc6a3,
951,1700065I17Rik,Tex10,
952,Il33,Abca4,
953,Mrpl21,Gm17638,
954,Mup-ps8,Olfr98,
955,Muc20,Cpt1b,
956,Fxn,Igkv6-17,
957,Cmpk2,AI314831,
958,Podn,1110021L09Rik,
959,Zfp800,Igj,
960,Sirpb1c,AL929371.1,
961,Ppat,Arpp19,
962,Gm15411,Igkv4-72,
963,Ppt1,2700081O15Rik,
964,Ptprj,Sdc2,
965,Rom1,Gm14230,
966,3110001D03Rik,Ighv1-76,
967,Terf2ip,RP23-260N23.12.1,
968,Ovol3,Bglap,
969,Gm3788,Sspn,
970,Nmt2,Samd10,
971,Anapc16,A430046D13Rik,
972,Nod1,Btbd7,
973,S100a8,Rasgrp2,
974,Arhgap26,Sidt1,
975,Mrpl40,Gm6787,
976,Cxcl5,Hbb-b1,
977,BC006965,Rpusd4,
978,H2afy3,Stam,
979,Tmem164,Gm14335,
980,Ptbp1,Ighv1-59,
981,Map4k5,Vps39,
982,Gm6304,Extl1,
983,1700066B19Rik,1600012F09Rik,
984,Cox4nb,Tmem170,
985,Npdc1,H2afy,
986,Scd2,Sltm,
987,Gm16749,Gm6190,
988,Cd274,Gm10942,
989,Idh3g,Gp1bb,
990,Cox4i1,Igkv2-137,
991,Tfec,Igkv14-100,
992,Trdv5,Gm13648,
993,Slc2a4rg-ps,Smad5,
994,Cdk16,Ccdc62,
995,Procr,Fcer2a,
996,Mertk,Ighv3-1,
997,Sacs,Igkv6-25,
998,Fam165b,Oxct2a,
999,Snx20,9630033F20Rik,
1000,Nap1l2,Mir3074-1,
1001,Gm12523,Ccne2,
1002,Pop7,Ighg,
1003,Sirpa,Ppp2r3a,
1004,A530076I17Rik,Igkv2-116,
1005,Phactr1,Hyal5,
1006,Aak1,Gm572,
1007,Lrrc63,5430402O13Rik,
1008,Cdnf,Gm16724,
1009,Heg1,Erp44,
1010,Emilin1,Igkv4-80,
1011,Cnksr3,Ighv15-2,
1012,Slc9a1,Gm17253,
1013,Egr3,9930005F22Rik,
1014,Renbp,Myo18b,
1015,Surf2,Igkv3-2,
1016,Naa35,Olfr101,
1017,Mettl8,Prss34,
1018,Lrrc25,Ighv1-61,
1019,Elovl7,Trav19,
1020,Disc1,Bpifb4,
1021,Ppap2a,Ighv1-4,
1022,Plekho2,Traj15,
1023,Vps13d,Lrit2,
1024,Kcnk13,Gm12618,
1025,Rnaseh1,Ighv1-22,
1026,A630077J23Rik,Igkv14-130,
1027,Ubtd1,Gm9143,
1028,Immp1l,D5Ertd579e,
1029,Myh9,Fam65c,
1030,Lrguk,Gm16710,
1031,Ppp6c,Ighv5-12,
1032,Acyp1,Gins1,
1033,Clca1,Rnf19a,
1034,Stoml2,Ighv1-49,
1035,Gm1332,Vdac3-ps1,
1036,Chmp3,Igkj4,
1037,Cry2,Klrc2,
1038,Txnl4b,Gm20429,
1039,Dtnbp1,Gm14769,
1040,Flna,Cr2,
1041,Gm13179,Gm10419,
1042,Tmem203,Il20ra,
1043,Hmox1,Zfp600,
1044,Gm15658,Gm15657,
1045,Rps6ka3,Gm12892,
1046,RP23-459I1.1.1,Ralgps1,
1047,Gm16118,Agap2,
1048,Gm16044,Prkd1,
1049,Leprot,Ighv1-53,
1050,Nckap5l,Asns,
1051,Gm13773,5830444B04Rik,
1052,Golph3l,Nwd1,
1053,4931422A03Rik,F730016J06Rik,
1054,E230015B07Rik,Igkv8-19,
1055,Kctd19,Eif3d,
1056,Zbtb34,Gm11362,
1057,Lyrm4,Ptchd1,
1058,Tnfsf10,Ighv1-36,
1059,Eno4,Lin28a,
1060,9130230L23Rik,2900011O08Rik,
1061,Gm14439,Slc9a2,
1062,Trappc5,Prpf40a,
1063,Akt1,Igkv4-63,
1064,Tlr13,Dcx,
1065,Gm15418,RP23-71G16.1.1,
1066,D930007J09Rik,Piwil4,
1067,Dopey2,Gm13032,
1068,Pex10,Igkv4-53,
1069,Aurkaip1,Poc1a,
1070,Cxcl2,Krt86,
1071,Ttc12,Ighv1-9,
1072,D130040H23Rik,Kcnma1,
1073,Ndufv1,Tcp11,
1074,Csf1,Acss3,
1075,Trpm2,Ighv10-1,
1076,Serpina3d-ps,Cfdp1,
1077,Ranbp2,Gm9493,
1078,Ift52,Tcrg-V4,
1079,Senp1,Cpa6,
1080,Sdcbp,4930556N13Rik,
1081,Gm17711,Cyp3a16,
1082,Glg1,Gpd2,
1083,Hif1a,Stmn2,
1084,Tlr11,Trav1,
1085,Gm10819,Socs2,
1086,Gm15478,Gm13217,
1087,Ube2h,Thnsl1,
1088,Fahd2a,Hoxc5,
1089,Atg4d,Ighv5-6,
1090,Alg6,Cdx4,
1091,Gm16267,Gm11773,
1092,1700042O10Rik,Rsph4a,
1093,Meig1,Klhl8,
1094,Gpr107,Ube2k,
1095,March8,Gm7901,
1096,Slc13a2,Gm15148,
1097,Itgb1,Lef1,
1098,Mup-ps2,Maoa,
1099,Rg9mtd3,Tapt1,
1100,Tbk1,Gm11967,
1101,Vsig2,Ccdc34,
1102,C330021F23Rik,Trim33,
1103,Vdac3,Tnfsf11,
1104,2810417H13Rik,Trbv29,
1105,Pilra,Gm6846,
1106,Ranbp6,Gm5127,
1107,Retnlg,Igkv6-15,
1108,Eno2,Ppp1r3e,
1109,Hey2,Twistnb,
1110,Efhd2,Ighv7-3,
1111,Cep55,2400003C14Rik,
1112,Stard3nl,Atf4,
1113,Lynx1,Gm16220,
1114,Gm336,Gm11828,
1115,Timm10,Rbm24,
1116,Gm14537,Lypd6b,
1117,Lrrc33,4930403N07Rik,
1118,Sun3,Gm15415,
1119,Stx3,Shank1,
1120,Phf20l1,Ribc1,
1121,Gm6863,Brcc3,
1122,Cfp,Gm16336,
1123,Mrps15,Gm17532,
1124,Gm10614,Gm13727,
1125,C1qtnf6,Ighj1,
1126,Lpcat2,Snph,
1127,Gm807,Scaf11,
1128,Mib2,6330409D20Rik,
1129,Gm6551,Camp,
1130,Strbp,Oip5,
1131,Zdhhc23,Igkv5-39,
1132,Ifi30,Trbv12-2,
1133,4930534B04Rik,Igkv4-50,
1134,Tlr9,Igkv1-110,
1135,Chst12,Ddx3x,
1136,Sowahc,Smc6,
1137,Il17ra,Slc39a3,
1138,Kit,S1pr4,
1139,4921518J05Rik,Klhdc1,
1140,Ehmt1,Zscan21,
1141,Ocrl,Gm17229,
1142,Bcat1,Pi4k2b,
1143,Gm10606,Nt5e,
1144,Ms4a6c,Gm10354,
1145,Atp7a,Cdkl1,
1146,Cd97,Loxhd1,
1147,Cysltr2,Zfp704,
1148,Gm15051,Shc3,
1149,Trafd1,Epgn,
1150,Akr1b8,Gm13898,
1151,Arl6ip5,H2-M2,
1152,Pbk,Tdp1,
1153,Oaz3,Clock,
1154,Pqbp1,Cacna1i,
1155,Coro1b,Zmat1,
1156,Itgb2,Gm11983,
1157,Samhd1,Crkl,
1158,Oas1b,Ighj4,
1159,Irak3,Cebpe,
1160,Gm17270,Tril,
1161,Pigz,0610030E20Rik,
1162,D130007C19Rik,Gm15572,
1163,Cd200r1,Ighv2-5,
1164,Man1c1,Tpo,
1165,Hps3,Rpl36al,
1166,Ms4a8a,Gm4794,
1167,Catsper3,Igkv4-91,
1168,Gm608,2010001M09Rik,
1169,8430427H17Rik,Gnaz,
1170,Gm10912,B3galt2,
1171,1600029I14Rik,0610043K17Rik,
1172,Pcdh17,Ighv1-62-3,
1173,Gm9157,Slc38a9,
1174,Znrf2,Igsf9b,
1175,Mapre2,Sfn,
1176,Eif3b,Gm12798,
1177,Gm17362,Ldhc,
1178,Heatr8,Rhcg,
1179,Kdelr3,Olfr545,
1180,A330033J07Rik,Rnf181,
1181,Limk1,Cbwd1,
1182,Serpinb9,Ankrd45,
1183,Adar,Cyp2c39,
1184,Gpr33,Ighv14-2,
1185,Gm9581,Gm11914,
1186,Gm16630,Tonsl,
1187,Hck,Psmd4,
1188,Mfhas1,Ighv1-34,
1189,Cd209a,Elane,
1190,Rraga,Lpin1,
1191,Nhsl2,Pcsk1,
1192,Sestd1,Igkv14-111,
1193,Taf5,Ighv1-7,
1194,Mfsd7a,Mir192,
1195,Zfp91,Gm4631,
1196,AI429214,Gm15373,
1197,Mmp12,Ccdc109a,
1198,Zufsp,Ly6g6f,
1199,Irg1,Setd3,
1200,Parp11,Cd4,
1201,Slc16a9,Eif2s1,
1202,Tigd2,4930545L23Rik,
1203,Ifng,Gbx2,
1204,Clp1,Lrrn2,
1205,Adamts3,Gm10778,
1206,Elac1,Tmem181c-ps,
1207,4921513D11Rik,Gm16171,
1208,Sbds,4930520O04Rik,
1209,Armcx4,Cyp11b2,
1210,Cbx7,Col16a1,
1211,Crbn,Ephb6,
1212,Hdac9,Rab27b,
1213,Col4a2,Olfr558,
1214,Etv3,Gm2904,
1215,Pldi,Gm9837,
1216,Nat10,Il11ra1,
1217,2510009E07Rik,1810011O10Rik,
1218,Gle1,Nap1l5,
1219,Gm12336,Rnpc3,
1220,BC065397,Igkv4-70,
1221,Murc,A430093F15Rik,
1222,Vim,Trbv16,
1223,Ccdc142,Gm10433,
1224,Birc2,Sin3a,
1225,Spc24,Scg5,
1226,Rasl12,Tiam1,
1227,Elmo2,Lrit1,
1228,Eya4,Igkv5-45,
1229,Gpbp1l1,Igkv8-28,
1230,Oas3,Atp5s,
1231,Gm17388,Gm15561,
1232,Ddx4,Mab21l2,
1233,Fbn2,Slc43a1,
1234,Pla2g15,Klri1,
1235,Map2k7,Tradd,
1236,Impdh1,Ppp1r3c,
1237,Psap,Ighv1-50,
1238,Egr2,Gm17419,
1239,Epsti1,Gm6226,
1240,Irf8,AC115293.1,
1241,Gltp,Thyn1,
1242,Fkbp3,Ppp2r1b,
1243,Lphn1,Trbv5,
1244,Serpina3f,Gm4285,
1245,Eif3i,Mark3,
1246,RP23-358B23.3.1,Olfr1449,
1247,5330426P16Rik,Rpl21,
1248,Gm14378,Gm16236,
1249,Cd248,Lipn,
1250,Slc25a36,Bbs5,
1251,Pml,Olfr166,
1252,Gm9888,Gm13364,
1253,Spink5,Kndc1,
1254,Gm15917,Igkv19-93,
1255,Icam1,Gm9923,
1256,Olr1,A430072P03Rik,
1257,Gpr160,B230312A22Rik,
1258,Rasgef1b,Chit1,
1259,Slc9a8,Igkv3-5,
1260,Ido1,,
1261,5430437P03Rik,,
1262,Stxbp1,,
1263,4930473A06Rik,,
1264,Wars,,
1265,Topors,,
1266,4933426M11Rik,,
1267,4930538K18Rik,,
1268,Tbc1d23,,
1269,Gm15928,,
1270,Tcrg-C,,
1271,Enpp2,,
1272,C330006D17Rik,,
1273,Nfkbiz,,
1274,Ywhah,,
1275,Maged2,,
1276,Gm16728,,
1277,Tmco4,,
1278,Lmnb2,,
1279,Tlr2,,
1280,Krt23,,
1281,Accn2,,
1282,Zfyve19,,
1283,1700113A16Rik,,
1284,Ust,,
1285,D830050J10Rik,,
1286,Zeb2,,
1287,Gpx7,,
1288,Gja4,,
1289,Ciita,,
1290,Il2rg,,
1291,Fam105a,,
1292,Nox4,,
1293,Tmem67,,
1294,Pax9,,
1295,Stx2,,
1296,Fyb,,
1297,1700028I16Rik,,
1298,Zer1,,
1299,Commd8,,
1300,Katnal1,,
1301,Gm867,,
1302,Sh3tc1,,
1303,Adrbk2,,
1304,Sgcb,,
1305,Ptpro,,
1306,Arhgap9,,
1307,Gpr132,,
1308,Clnk,,
1309,Snx12,,
1310,3110056O03Rik,,
1311,Abi1,,
1312,Bola3,,
1313,Mmp9,,
1314,Nlrc5,,
1315,Asah1,,
1316,Srgn,,
1317,Lcp1,,
1318,Surf1,,
1319,Cym,,
1320,Lrrc8c,,
1321,Sirpb1a,,
1322,Pdk3,,
1323,2310043M15Rik,,
1324,Nptx1,,
1325,Pdcd4,,
1326,Htr7,,
1327,Gm9917,,
1328,Rfx8,,
1329,Gpr18,,
1330,Gbgt1,,
1331,1110038F14Rik,,
1332,Gpr141,,
1333,Gm10657,,
1334,Gapdh,,
1335,Atf2,,
1336,Hist1h3e,,
1337,AI480526,,
1338,Tiparp,,
1339,Snrpd3,,
1340,Gm10134,,
1341,Atad3a,,
1342,Hpcal1,,
1343,Klrc3,,
1344,Tshz1,,
1345,Pitrm1,,
1346,Sepn1,,
1347,Tmem14c,,
1348,Paip2b,,
1349,Gm5620,,
1350,Gpr84,,
1351,5031425F14Rik,,
1352,Pum1,,
1353,Gad1-ps,,
1354,Fbxl6,,
1355,Creg2,,
1356,Magohb,,
1357,Hoxa1,,
1358,Adamts9,,
1359,Plcg2,,
1360,Mrpl11,,
1361,Ly6c1,,
1362,Dpep2,,
1363,Vegfb,,
1364,Gpr15,,
1365,Gm17509,,
1366,Nras,,
1367,Twf2,,
1368,Shisa5,,
1369,Abcc5,,
1370,Eno1,,
1371,E330016A19Rik,,
1372,Slc35c1,,
1373,Iqch,,
1374,Gm10644,,
1375,App,,
1376,Gm20412,,
1377,Bin2,,
1378,Fabp4,,
1379,Csnk1g1,,
1380,Hmgn1,,
1381,Zc3h12a,,
1382,Eif2ak3,,
1383,Usp25,,
1384,Ccrl2,,
1385,A530099J19Rik,,
1386,Seh1l,,
1387,Rasgrf1,,
1388,Upf1,,
1389,2610008E11Rik,,
1390,Ppcdc,,
1391,Atp5e,,
1392,Mier2,,
1393,Tmem26,,
1394,Mir1948,,
1395,Gm12928,,
1396,2810422J05Rik,,
1397,Pdgfra,,
1398,Ttc13,,
1399,Oasl2,,
1400,Tmem171,,
1401,Lypla2,,
1402,Nhs,,
1403,Vcam1,,
1404,Pgd,,
1405,Gm15845,,
1406,Heyl,,
1407,Ddb1,,
1408,Ttll7,,
1409,Casp4,,
1410,Timm44,,
1411,Trdj1,,
1412,Snx21,,
1413,1700028E10Rik,,
1414,Sst,,
1415,B330016D10Rik,,
1416,Slc2a1,,
1417,2010107G23Rik,,
1418,Gm14794,,
1419,Mnd1,,
1420,Fbxw2,,
1421,Gpr151,,
1422,Lrrk2,,
1423,Gm11194,,
1424,Gm20519,,
1425,Cxcl1,,
1426,Scn5a,,
1427,Gm6091,,
1428,Gm17505,,
1429,Max,,
1430,Riok3,,
1431,Cbfb,,
1432,Cstb,,
1433,P2ry13,,
1434,1700040D17Rik,,
1435,Gm15860,,
1436,Thap7,,
1437,Naip6,,
1438,Mtap7d1,,
1439,1110046J04Rik,,
1440,Ccr2,,
1441,2900053A13Rik,,
1442,Atp8b4,,
1443,I830077J02Rik,,
1444,Gadd45g,,
1445,1600020E01Rik,,
1446,Far2,,
1447,Gm16603,,
1448,Imp3,,
1449,Agtrap,,
1450,Gm5475,,
1451,Itga1,,
1452,Fam185a,,
1453,Fam193b,,
1454,Samd3,,
1455,Napepld,,
1456,Fyttd1,,
1457,Scn2b,,
1458,Ly75,,
1459,1700020O03Rik,,
1460,Il11,,
1461,Gna15,,
1462,Trbv19,,
1463,Atp13a2,,
1464,Sult4a1,,
1465,C130050O18Rik,,
1466,Stfa2l1,,
1467,C1qtnf3,,
1468,Carhsp1,,
1469,Id1,,
1470,Fam26f,,
1471,Pqlc1,,
1472,9830001H06Rik,,
1473,Tgm2,,
1474,Tnfsf15,,
1475,Pdgfb,,
1476,Creb3l1,,
1477,RP23-133P6.2.1,,
1478,4731419I09Rik,,
1479,Ldoc1,,
1480,Gm5763,,
1481,Fgl2,,
1482,9130014G24Rik,,
1483,B4galt6,,
1484,Gm6368,,
1485,AC155256.1,,
1486,Spic,,
1487,St6gal1,,
1488,Lyz2,,
1489,Rabl5,,
1490,Raf1,,
1491,Spata6,,
1492,Il2rb,,
1493,Gm6382,,
1494,Apobec3,,
1495,9130204K15Rik,,
1496,Calm1,,
1497,3110002H16Rik,,
1498,Jazf1,,
1499,Cdc42se1,,
1500,Prtn3,,
1501,Gm12504,,
1502,Ptcd3,,
1503,B4galt1,,
1504,Prr5l,,
1505,Herc6,,
1506,Tmx3,,
1507,Plau,,
1508,Lgmn,,
1509,Trappc2,,
1510,Acot8,,
1511,Chrm2,,
1512,Rhov,,
1513,Arhgef6,,
1514,Ciao1,,
1515,Plcg1,,
1516,Adpgk,,
1517,Unc93b1,,
1518,Rcan3,,
1519,Ak7,,
1520,Ndufs5,,
1521,Fam123a,,
1522,Map3k6,,
1523,Fam126a,,
1524,Cabp4,,
1525,1700055N04Rik,,
1526,Gm13994,,
1527,Rassf1,,
1528,Bend4,,
1529,Gm9733,,
1530,Fam111a,,
1531,Gnai1,,
1532,Ly86,,
1533,Ctsg,,
1534,Pcmt1,,
1535,Dgkg,,
1536,Gyg,,
1537,Heatr5a,,
1538,Zfp366,,
1539,Fam53a,,
1540,Pdk1,,
1541,Gm17271,,
1542,Wdr5,,
1543,C330006K01Rik,,
1544,Ccnb1ip1,,
1545,Gpr114,,
1546,snoU90,,
1547,BC057079,,
1548,Gpr97,,
1549,Clasp2,,
1550,Usp44,,
1551,Rnf219,,
1552,Ly6i,,
1553,Sept5,,
1554,F8a,,
1555,Ttc34,,
1556,F730043M19Rik,,
1557,Rpp40,,
1558,Hps6,,
1559,4632428N05Rik,,
1560,Ccdc80,,
1561,Gm6728,,
1562,F3,,
1563,Tbc1d9,,
1564,5730494M16Rik,,
1565,Pkm2,,
1566,Sh2d4b,,
1567,4933416I08Rik,,
1568,Romo1,,
1569,Celf1,,
1570,Gm15946,,
1571,Slc39a13,,
1572,Cct2,,
1573,Dirc2,,
1574,Cds2,,
1575,Il3ra,,
1576,Gm16675,,
1577,Map3k8,,
1578,Rtn4rl2,,
1579,Tmem229b,,
1580,Rp2h,,
1581,Rnase6,,
1582,Parp8,,
1583,Gm5483,,
1584,Gtpbp5,,
1585,Prdm1,,
1586,Tasp1,,
1587,Cd59b,,
1588,Scamp2,,
1589,Polr3g,,
1590,Ripk2,,
1591,Nudt5,,
1592,1810013D10Rik,,
1593,Xrcc6,,
1594,Casp1,,
1595,Lrrc15,,
1596,Rab8b,,
1597,Tmem132a,,
1598,Atg2a,,
1599,C87436,,
1600,Layn,,
1601,Wfdc1,,
1602,Tnip2,,
1603,2610524H06Rik,,
1604,Gbp2,,
1605,Camk2d,,
1606,Gm4419,,
1607,Car1,,
1608,Bcl2a1a,,
1609,Was,,
1610,6430548M08Rik,,
1611,Duoxa1,,
1612,G6pdx,,
1613,Cd160,,
1614,S1pr2,,
1615,Sh3bp1,,
1616,Klre1,,
1617,Nbea,,
1618,Orm2,,
1619,Arg2,,
1620,Micall2,,
1621,Zdhhc4,,
1622,Elf4,,
1623,Serf1,,
1624,Rad52,,
1625,Tgfbi,,
1626,C230096C10Rik,,
1627,Nfu1,,
1628,Tpd52,,
1629,Sfpi1,,
1630,4831440E17Rik,,
1631,Cdk14,,
1632,4732471D19Rik,,
1633,Nop10,,
1634,Stxbp3b,,
1635,Ogfr,,
1636,Taz,,
1637,Cdkn2aip,,
1638,Notch1,,
1639,Tbc1d2,,
1640,Oas2,,
1641,1110049F12Rik,,
1642,Apol10b,,
1643,Stx11,,
1644,Zfp644,,
1645,Esrra,,
1646,Tomm20l,,
1647,C030046I01Rik,,
1648,Crtc1,,
1649,Xcr1,,
1650,Scn3b,,
1651,Cap1,,
1652,4833407H14Rik,,
1653,Zfp874b,,
1654,Gm13184,,
1655,Npc2,,
1656,Pknox2,,
1657,Apln,,
1658,Kcnj16,,
1659,Znf512b,,
1660,Gm12315,,
1661,Acot7,,
1662,Gm7097,,
1663,Cecr5,,
1664,Gm17681,,
1665,Ggt5,,
1666,Wbp5,,
1667,Ntn4,,
1668,Tspo,,
1669,Snx29,,
1670,P2ry14,,
1671,Crlf2,,
1672,Arhgap22,,
1673,Prf1,,
1674,Dclre1a,,
1675,Gm17597,,
1676,Gpr85,,
1677,Lgals3,,
1678,Ptpn2,,
1679,Adrb2,,
1680,Rab39,,
1681,Gm15229,,
1682,Cd74,,
1683,Ctnnal1,,
1684,5031414D18Rik,,
1685,Abcg3,,
1686,Angpt2,,
1687,Mxi1,,
1688,Zfp68,,
1689,Dram1,,
1690,Socs1,,
1691,Gm4117,,
1692,Gm17089,,
1693,Tlr1,,
1694,Akirin1,,
1695,Slc25a12,,
1696,Tle3,,
1697,Krt83,,
1698,Rap1b,,
