,module 2,module 11,module 16
149,Gm15735,Gm10371,Fcrlb
150,Cdc25a,Ces2c,Il18r1
151,Rgs12,Gm1866,Ankrd23
152,B930094E09Rik,Trav21-dv12,Gm10521
153,Gtf3c2,Gm11295,Slc41a1
154,Prpf6,Begain,Cyb5r1
155,Samd15,Gm14018,Mir425
156,Prickle2,Gprin3,Zfp273
157,Kcnd1,4930505N22Rik,Ighg3
158,Zfp866,Gm15563,Gm15663
159,Cd38,Clec4n,Atp1a4
160,Ctss,Igkv8-21,Snord87
161,Pcmtd2,Musk,1700012A16Rik
162,Myd88,Gm16786,Inpp5d
163,Cx3cl1,Gemin8,Gpr35
164,Vdr,Ighg2c,Kif1a
165,Gm13571,Gm15156,Ptprc
166,Cir1,1700102P08Rik,Fcgr3
167,Sbno2,Gm9843,Ica1l
168,Xrcc6bp1,Snord58b,Phf21a
169,Rapgef3,Hoxa4,Bag2
170,Gm12452,Ppbp,Gm15853
171,Ppef2,Vamp5,Aspm
172,Serpina3e-ps,Psma3,Fam166a
173,Rbm4b,Mir5133,Stxbp5l
174,Ccin,Tes3-ps,Gpr37l1
175,Prss32,Zfp759,Mybl1
176,AL732357.1,Kcnj5,Etohd2
177,Gm13091,Tdrd7,Gpr161
178,Pmpca,Ighv1-69,Gm14418
179,Prkg1,Mlh3,Bai2
180,Fut4,AC073553.2,Gm16587
181,Aven,Gm14040,Rsrc2
182,BC037032,2200002J24Rik,Cd34
183,F830045P16Rik,Plekha3,Sp140
184,Psmc3,AC132957.1,Abl1
185,C1qb,Sowahd,Icos
186,Palm,Igkv12-98,Gm2174
187,Acpp,Igkv6-23,Nlrp9c
188,Grhl1,Psmc2,Slc4a3
189,Trim8,Tspan5,Cd247
190,Gm15347,Gm15877,Mtmr14
191,Tmem2,Gm16139,Mfi2
192,C530005A16Rik,Amelx,4930500M09Rik
193,Shank3,Thsd7b,Gm7609
194,Myo9a,Ighv14-4,AC141438.1
195,Trpm7,Gm4221,Il22ra2
196,Afg3l2,Snca,D3Bwg0562e
197,Gnas,2410057H14Rik,Plcl1
198,Plcb2,Trav14n-3,Tmem194b
199,Msto1,Serpina1f,AC160757.1
200,Csf1r,Gfi1b,4933406J08Rik
201,Dsg1b,Acot3,4930598A11Rik
202,Gm16701,Gm11110,Fcamr
203,Bcl2a1b,Gm16260,5730446D14Rik
204,Gm711,Gm10540,C130080G10Rik
205,Sdf2l1,Gm6807,Fam110a
206,Pilrb1,Gm11830,Gm17448
207,Atad2,4930417H01Rik,D630023F18Rik
208,1700029I15Rik,Gm7551,Exo1
209,Lonrf1,Ceacam10,Epha4
210,Gm2822,4930432B10Rik,Gm13829
211,Tpst2,Gm16322,Pdcd1
212,Lyn,Padi1,Ntf5
213,Zswim6,Ppp1r1b,Marco
214,Krr1,Gm12701,1700090G07Rik
215,Gbp3,Sgcg,Spats2l
216,Gm6297,Atf1,Glmn
217,1700045I19Rik,4930579G24Rik,Hephl1
218,Gm10197,Msl3,Fam129a
219,Ssh3,Gm13320,Ysk4
220,Gm12405,Sh2d3c,Rps19-ps1
221,0610025J13Rik,E330009J07Rik,Gls
222,Gm15477,Plxna3,Olfr178
223,Mycl1,Igkv4-61,Gm12867
224,Abcg2,Prg2,Gm15132
225,Gm17491,9330198N18Rik,Ube2t
226,Plac8,Ngp,Ptprn
