,module 2,module 11,module 16
148,Egfl7,Igkv4-68,Hmgb1
149,Gm16016,Serpina3b,Ankrd44
150,Gmds,Padi4,Rcsd1
151,Scube1,Ighv5-16,Sgpp2
152,Tmem50b,Troap,Nsl1
153,Clstn3,Trpm1,Dyrk3
154,Nsun5,Scrg1,Fam46b
155,Gm16602,A730068I03Rik,AC159897.1
156,Gm2023,Igkv3-12,Sele
157,Lims1,Usp53,Gm17415
158,Dnajb6,Pan3,Itm2c
159,Gnai2,Igkv12-38,Tmeff2
160,Atp5a1,Gm14412,Gm15445
161,Mmp17,Alg11,Mpzl1
162,Klra17,Kcnc1,Itpkb
163,Irf5,Ermap,Gm12699
164,Psmf1,Mst1r,Gm12949
165,Gm11461,Treml1,Pla2g4a
166,3110047P20Rik,Gm10371,Hmcn1
167,2400009B08Rik,Gm4169,AI848100
168,Adam17,D130020L05Rik,Des
169,D4Ertd22e,Clec4a4,Mcm6
170,Rarg,Trav21-dv12,Barhl1
171,Gm10639,Gm14018,Lime1
172,Pop1,Gprin3,Tnfrsf11a
173,Atp6v0a4,Gm15563,Fcrlb
174,Glt25d1,2810002D19Rik,Il18r1
175,Ube2e3,Tspyl3,Slc22a22
176,Cdc25a,Igkv8-21,Ankrd23
177,Rgr,Musk,Gm10521
178,Rgs12,Gm16786,Ifi202b
179,B930094E09Rik,Ighg2c,Slc41a1
180,Gtf3c2,Gm15156,Cyb5r1
181,Samd15,Igkv12-89,Mir425
182,Prickle2,Hoxa4,Mkrn1-ps1
183,Kcnd1,Sdsl,Gm15663
184,Zfp866,Luzp1,Atp1a4
185,Cd38,Ppbp,Snord87
186,Ctss,Vamp5,Inpp5d
187,Pcmtd2,A330050B17Rik,Gpr35
188,Myd88,Psma3,Rgsl1
189,Cx3cl1,Gm12500,Kif1a
190,Vdr,Mir5133,Ptprc
191,Gm13571,Zfp759,Fcgr3
192,1700027A07Rik,Mcm2,Bag2
193,Trac,Kcnj5,Gm15853
194,Map3k9,Tdrd7,Aspm
195,Ndufb11,Mfng,Fam166a
196,Zfp663,Ighv1-69,Stxbp5l
197,Rps6ka4,Mlh3,Mybl1
198,Sbno2,AC073553.2,Etohd2
199,Xrcc6bp1,Trav3-1,Gm14418
200,Rapgef3,Zfp275,Gm16587
201,Gm12452,Gm14455,AC116595.1
202,Shcbp1,Gm14040,Cd34
203,Ppef2,Gm17481,Gm6286
204,Serpina3e-ps,1700110K17Rik,Sp140
205,Rbm4b,Gm15755,Icos
206,Prss32,Plekha3,Med28
207,Gm13091,AC132957.1,Gm2174
208,Card11,Sowahd,Nlrp9c
209,Pmpca,Pacs1,Slc4a3
210,Plk4,Rab42-ps,Agap1
211,Fut4,Igkv12-98,Cd247
212,Aven,Ttc17,Mtmr14
213,BC037032,Igkv6-23,Col4a3
214,F830045P16Rik,Psmc2,4930500M09Rik
215,C1qb,Gm15877,Prim2
216,Chchd5,Gm16139,Gm7609
217,Palm,Ighv14-4,AC141438.1
218,Acpp,Gm4221,Il22ra2
219,Grhl1,Snca,D3Bwg0562e
220,Trim8,St8sia5,Cstf2t
221,Gm15347,2410057H14Rik,Plcl1
222,Gm9479,Trav14n-3,Amigo3
223,Tmem2,Serpina1f,Tmem194b
224,Apitd1,Slc35f2,AC160757.1
225,C530005A16Rik,Gfi1b,4933406J08Rik
226,Cenpi,Pcolce,Plcd4
227,Shank3,Mbp,Fcamr
228,Myo9a,Gm11830,5730446D14Rik
229,Trpm7,4930417H01Rik,C130080G10Rik
230,Esco2,Gm7551,Fam110a
231,Afg3l2,Ceacam10,5730559C18Rik
232,Gnas,N4bp2,Gm17448
233,Plcb2,4930432B10Rik,Exo1
234,Celf2,Ucp3,Epha4
235,Rgs6,Padi1,Gm13829
236,Msto1,Hbb-b2,Pdcd1
237,Csf1r,Ncam1,Marco
238,Gm16701,Sgcg,1700090G07Rik
239,Bcl2a1b,4930579G24Rik,Spats2l
240,Gm711,Msl3,Glmn
241,Fubp3,Gm13139,Hephl1
