,native,name,p_value
0,GO:0005829,cytosol,2.8044543037823677e-12
1,GO:1901564,organonitrogen compound metabolic process,6.259164093719547e-10
2,GO:0005737,cytoplasm,7.282483412590798e-10
3,GO:0019538,protein metabolic process,2.5206547755540362e-08
4,GO:0009056,catabolic process,7.751361149833344e-08
5,GO:0044248,cellular catabolic process,1.533121342715849e-06
7,GO:0036211,protein modification process,2.700511031466678e-06
8,GO:1901565,organonitrogen compound catabolic process,4.888140931134455e-06
10,GO:0043412,macromolecule modification,7.812851960109229e-06
18,GO:1901575,organic substance catabolic process,7.297967365454521e-05
