,native,name,p_value
0,GO:0050794,regulation of cellular process,2.8222988729964345e-29
1,GO:0065007,biological regulation,5.10508939288134e-28
2,GO:0048523,negative regulation of cellular process,4.343711462323656e-27
3,GO:0048518,positive regulation of biological process,5.162574216211906e-26
4,GO:0050789,regulation of biological process,1.7529292664200777e-24
5,GO:0005737,cytoplasm,3.2716276176026075e-24
6,GO:0031323,regulation of cellular metabolic process,2.174941707266914e-23
7,GO:0080090,regulation of primary metabolic process,1.9766472966585722e-21
8,GO:0048522,positive regulation of cellular process,2.5505177813110023e-21
9,GO:0009893,positive regulation of metabolic process,3.09493634092309e-21
