,native,name,p_value
0,GO:0048522,positive regulation of cellular process,6.459728953620326e-24
1,GO:0048518,positive regulation of biological process,1.605420673882038e-23
2,GO:0050794,regulation of cellular process,9.120898419851815e-20
3,GO:0035556,intracellular signal transduction,1.9871809835130603e-18
4,GO:0002376,immune system process,8.651610786461604e-18
6,GO:0010604,positive regulation of macromolecule metabolic process,1.5905638316678263e-17
7,GO:0005829,cytosol,1.9193527038900173e-17
8,GO:0009893,positive regulation of metabolic process,8.735730054577053e-17
9,GO:0051246,regulation of protein metabolic process,9.573583604400802e-17
10,GO:0065009,regulation of molecular function,1.0764595198702044e-16
