,native,name,p_value
0,GO:0098798,mitochondrial protein-containing complex,1.0418773690477943e-24
1,GO:0005743,mitochondrial inner membrane,1.4360399976495907e-17
2,GO:0032991,protein-containing complex,2.9627676509668185e-17
3,GO:0019866,organelle inner membrane,6.90870644920094e-17
4,GO:0031966,mitochondrial membrane,2.1634921814006818e-16
5,GO:0005740,mitochondrial envelope,2.9315048915520205e-16
7,GO:0006119,oxidative phosphorylation,1.5332701159020831e-13
8,GO:0009060,aerobic respiration,1.7641868799117435e-13
9,GO:0098800,inner mitochondrial membrane protein complex,2.1410307639688864e-13
11,GO:0031967,organelle envelope,4.897280663184178e-13
