,native,name,p_value
0,GO:0050794,regulation of cellular process,2.0470600656376963e-17
1,GO:0005829,cytosol,2.666721297601573e-16
2,GO:0005654,nucleoplasm,3.721229500194676e-16
7,GO:0031323,regulation of cellular metabolic process,6.923866058567077e-13
8,GO:0065007,biological regulation,7.079026320342894e-13
10,GO:0048523,negative regulation of cellular process,9.67540661312456e-13
13,GO:0050789,regulation of biological process,4.189296873399716e-12
14,GO:0005515,protein binding,6.044477878802699e-12
21,GO:0051171,regulation of nitrogen compound metabolic process,6.239603783182194e-11
26,GO:0080090,regulation of primary metabolic process,3.573131880889019e-10
