,native,name,p_value
0,GO:0007275,multicellular organism development,3.8816346628837715e-26
1,GO:0032501,multicellular organismal process,9.617274041557976e-26
2,GO:0032502,developmental process,1.4544945026105704e-24
3,GO:0048856,anatomical structure development,1.4881517344813756e-24
4,GO:0048731,system development,3.83882842125264e-23
5,GO:0071944,cell periphery,2.3343059254192056e-21
6,GO:0009653,anatomical structure morphogenesis,5.54195682673798e-20
7,GO:0005886,plasma membrane,2.888828116882949e-18
8,GO:0048513,animal organ development,2.7455279808094156e-16
9,GO:0050794,regulation of cellular process,1.6110320698524032e-15
