,native,name,p_value
0,GO:0019814,immunoglobulin complex,3.0669814326837214e-23
1,GO:0003823,antigen binding,3.475181305847935e-17
2,GO:0042571,"immunoglobulin complex, circulating",4.2404657232182e-14
3,GO:0002250,adaptive immune response,7.743953142183228e-13
4,GO:0034987,immunoglobulin receptor binding,5.1931413832249454e-12
7,GO:0006955,immune response,1.9830144241834602e-10
11,GO:0002376,immune system process,6.017929000712621e-10
15,GO:0050864,regulation of B cell activation,2.4812606281871244e-09
17,GO:0050853,B cell receptor signaling pathway,3.389413900179435e-09
23,GO:0050871,positive regulation of B cell activation,1.515785487966187e-08
