,native,name,p_value
0,GO:0031091,platelet alpha granule,6.335498278922531e-14
2,GO:0007596,blood coagulation,7.76203516409777e-11
3,GO:0050817,coagulation,1.0471813197594986e-10
4,GO:0007599,hemostasis,1.1108895438922553e-10
6,GO:0042060,wound healing,2.2975992022385128e-10
7,GO:0031093,platelet alpha granule lumen,3.507807205355903e-10
8,GO:0009653,anatomical structure morphogenesis,3.8674373689653915e-09
11,GO:0009611,response to wounding,1.470159029024516e-08
12,GO:0030168,platelet activation,6.246276820809677e-08
13,GO:0050878,regulation of body fluid levels,1.348422684169718e-07
