,native,name,p_value
1,GO:0140375,immune receptor activity,1.97506802241925e-06
3,GO:0044194,cytolytic granule,5.370854065711924e-06
5,GO:0005887,integral component of plasma membrane,4.835514393951122e-05
6,GO:0009605,response to external stimulus,5.7822792428895454e-05
7,GO:0002376,immune system process,6.978834451176325e-05
8,GO:0031226,intrinsic component of plasma membrane,9.655450573386989e-05
9,GO:0006968,cellular defense response,0.00029851670241027504
10,GO:0009897,external side of plasma membrane,0.00036711759766099283
11,GO:0001906,cell killing,0.0004938098536677908
12,GO:0005886,plasma membrane,0.0009622953750564865
