,native,name,p_value
0,GO:0032501,multicellular organismal process,6.401922001021961e-64
1,GO:0032502,developmental process,3.6630869004652324e-56
2,GO:0048856,anatomical structure development,6.208742791379815e-55
3,GO:0007275,multicellular organism development,1.108843974517946e-53
4,GO:0048731,system development,3.722908046155756e-49
5,GO:0071944,cell periphery,1.9451732394550602e-47
6,GO:0050896,response to stimulus,1.350801977040825e-41
7,GO:0048513,animal organ development,4.119252106690443e-41
8,GO:0005887,integral component of plasma membrane,2.1739161696690342e-39
9,GO:0031226,intrinsic component of plasma membrane,1.0666695680491004e-38
