,native,name,p_value
0,GO:0005654,nucleoplasm,4.764774715595476e-24
1,GO:0031981,nuclear lumen,5.885489512399874e-14
3,GO:0005737,cytoplasm,1.3540704796985208e-11
5,GO:0009059,macromolecule biosynthetic process,4.3220827031059733e-11
6,GO:0044249,cellular biosynthetic process,5.263524495811292e-11
8,GO:0031324,negative regulation of cellular metabolic process,5.670832133309068e-11
9,GO:1901576,organic substance biosynthetic process,9.18790191381147e-11
10,GO:0009058,biosynthetic process,9.852585985034639e-11
11,GO:0005829,cytosol,1.217306573940275e-10
17,GO:0070013,intracellular organelle lumen,5.111555525968979e-10
