,native,name,p_value
0,GO:0005737,cytoplasm,1.238620828235923e-25
1,GO:0031982,vesicle,2.6538903548874454e-22
4,GO:0005515,protein binding,7.96838188250417e-20
6,GO:0012505,endomembrane system,1.9980944454782611e-19
8,GO:0031410,cytoplasmic vesicle,2.8538020632939674e-18
9,GO:0097708,intracellular vesicle,3.0720738139770413e-18
16,GO:0048518,positive regulation of biological process,2.7005228419855613e-16
20,GO:0050794,regulation of cellular process,8.450790889683529e-16
21,GO:0051179,localization,9.289820952639737e-16
30,GO:0048522,positive regulation of cellular process,4.856133035139189e-14
