,native,name,p_value
2,GO:0031974,membrane-enclosed lumen,2.914195058468718e-22
3,GO:0043233,organelle lumen,2.914195058468718e-22
4,GO:0070013,intracellular organelle lumen,2.914195058468718e-22
6,GO:0005654,nucleoplasm,1.6314163709832995e-20
32,GO:0043231,intracellular membrane-bounded organelle,2.3753611781613383e-17
43,GO:0031981,nuclear lumen,1.204390606546156e-16
48,GO:0098798,mitochondrial protein-containing complex,2.0622185342574017e-16
66,GO:1902494,catalytic complex,3.3792099744418706e-15
70,GO:0032991,protein-containing complex,5.2929056731430035e-15
73,GO:0043227,membrane-bounded organelle,1.0713601900000446e-14
