,label
1343152406,tolerant
1995830188,tolerant
3011634674,tolerant
4213960130,tolerant
5442792538,tolerant
5553004843,susceptible
5765623572,susceptible
7604210828,susceptible
7817628786,tolerant
8179107870,tolerant
