,Data Set,Module Refinement Method,Mean Relative Gain
0,salmonella_Liver_susceptible,eigengene_4,-1.0
0,salmonella_Liver_susceptible,eigengene_8,-1.0
0,salmonella_Liver_susceptible,flag_mean_1_1,-1.0
0,salmonella_Liver_susceptible,flag_mean_1_2,-1.0
0,salmonella_Liver_susceptible,flag_mean_2_1,
0,salmonella_Liver_susceptible,flag_mean_2_2,-1.0
0,salmonella_Liver_susceptible,flag_mean_4_1,-1.0
0,salmonella_Liver_susceptible,flag_mean_4_2,-1.0
0,salmonella_Liver_susceptible,flag_mean_8_1,-1.0
0,salmonella_Liver_susceptible,flag_mean_8_2,-1.0
0,salmonella_Liver_susceptible,flag_median_1_1,-1.0
0,salmonella_Liver_susceptible,flag_median_1_2,-1.0
0,salmonella_Liver_susceptible,flag_median_2_1,
0,salmonella_Liver_susceptible,flag_median_2_2,-1.0
0,salmonella_Liver_susceptible,flag_median_4_1,-1.0
0,salmonella_Liver_susceptible,flag_median_4_2,-1.0
0,salmonella_Liver_susceptible,flag_median_8_1,
0,salmonella_Liver_susceptible,flag_median_8_2,-1.0
0,salmonella_Liver_susceptible,module_expression,-1.0
0,salmonella_Liver_tolerant,eigengene_1,-1.0
0,salmonella_Liver_tolerant,eigengene_2,-1.0
0,salmonella_Liver_tolerant,eigengene_4,-1.0
0,salmonella_Liver_tolerant,eigengene_8,-1.0
0,salmonella_Liver_tolerant,flag_mean_1_1,-1.0
0,salmonella_Liver_tolerant,flag_mean_1_2,-1.0
0,salmonella_Liver_tolerant,flag_mean_2_1,
0,salmonella_Liver_tolerant,flag_mean_2_2,-1.0
0,salmonella_Liver_tolerant,flag_mean_4_1,-1.0
0,salmonella_Liver_tolerant,flag_mean_4_2,-1.0
0,salmonella_Liver_tolerant,flag_mean_8_1,-1.0
0,salmonella_Liver_tolerant,flag_mean_8_2,-1.0
0,salmonella_Liver_tolerant,flag_median_1_1,-1.0
0,salmonella_Liver_tolerant,flag_median_1_2,-1.0
0,salmonella_Liver_tolerant,flag_median_2_1,
0,salmonella_Liver_tolerant,flag_median_2_2,-1.0
0,salmonella_Liver_tolerant,flag_median_4_1,-1.0
0,salmonella_Liver_tolerant,flag_median_4_2,-1.0
0,salmonella_Liver_tolerant,flag_median_8_1,-1.0
0,salmonella_Liver_tolerant,flag_median_8_2,-1.0
0,salmonella_Liver_tolerant,module_expression,-1.0
