,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
68,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,27,1.0,227
69,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,28,0.8625730994152047,441
70,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,29,0.9444444444444444,1470
71,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,30,1.0,522
72,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,31,0.8918128654970761,535
73,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,32,0.9736842105263157,658
74,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,33,0.8391812865497076,2711
75,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,34,0.9736842105263157,811
76,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,1,0,1.0,690
77,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,1,1,1.0,3282
78,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,0,0,1.0,2945
79,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,0,1,1.0,1066
80,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,0,0.7543859649122806,27
81,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,1,0.8888888888888888,1114
82,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,2,0.6754385964912281,72
83,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,3,0.9444444444444444,752
84,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,4,0.9444444444444444,620
85,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,5,0.9210526315789473,257
86,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,6,0.9736842105263157,701
87,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,7,0.8362573099415205,1461
88,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,8,1.0,756
89,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,9,0.9736842105263157,570
90,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,10,0.9444444444444444,2913
91,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,11,1.0,1122
92,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,12,0.8888888888888888,1634
93,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,13,0.9181286549707601,560
94,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,14,0.9181286549707601,339
95,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,15,0.8918128654970761,441
96,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,16,0.9444444444444444,842
97,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,17,0.8128654970760234,136
98,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,18,0.9444444444444444,1244
99,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,19,0.7807017543859649,112
100,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,20,0.9181286549707601,391
101,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,21,0.8918128654970761,1080
102,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,22,0.9181286549707601,519
103,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,23,1.0,607
104,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,24,0.8918128654970761,297
105,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,25,0.8888888888888888,674
106,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,26,0.8128654970760234,102
107,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,27,0.8888888888888888,643
108,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,28,0.8918128654970761,660
109,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,29,0.6988304093567251,155
110,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,30,0.9444444444444444,722
111,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,31,0.9444444444444444,754
112,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,0,0.875,1015
113,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,1,1.0,799
114,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,2,1.0,1106
115,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,3,1.0,4085
116,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,4,0.875,1099
117,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,5,1.0,2484
118,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,6,1.0,1730
