,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,gse73072_hrv_48_64_False,1,4,22,0.3754180778214832,543
0,gse73072_hrv_48_64_False,1,4,23,0.4450964290645105,1307
0,gse73072_hrv_48_64_False,1,4,24,0.4014213813062767,710
0,gse73072_hrv_48_64_False,1,4,25,0.2582575107307421,603
0,gse73072_hrv_48_64_False,1,4,26,0.2131094908064394,532
0,gse73072_hrv_48_64_False,1,4,27,0.45477685092507847,1360
0,ebola_Spleen,1,0,0,0.9136555841414438,1418
0,ebola_Spleen,1,0,1,0.6444898558631145,2614
0,gse73072_hrv_48_64_False,1,1,0,0.45144687270795786,548
0,gse73072_hrv_48_64_False,1,1,1,0.42201041997630423,1117
0,gse73072_hrv_48_64_False,1,1,2,0.13390187869993977,162
0,gse73072_hrv_48_64_False,1,1,3,0.4985991810862311,752
0,gse73072_hrv_48_64_False,1,1,4,0.351103610674001,893
0,gse73072_hrv_48_64_False,1,1,5,0.4520712006994318,1529
0,gse73072_hrv_48_64_False,1,1,6,0.2652676815238057,380
0,gse73072_hrv_48_64_False,1,1,7,0.43766671568345045,677
0,gse73072_hrv_48_64_False,1,1,8,0.4347502321026545,1168
0,gse73072_hrv_48_64_False,1,1,9,0.4840837592966688,880
0,gse73072_hrv_48_64_False,1,1,10,0.3827042362302248,598
0,gse73072_hrv_48_64_False,1,1,11,0.47728216907697957,1485
0,gse73072_hrv_48_64_False,1,1,12,0.5903905689414599,1863
0,gse73072_hrv_48_64_False,1,1,13,0.45305470746438575,1140
0,gse73072_hrv_48_64_False,1,1,14,0.34518242541864896,772
0,gse73072_hrv_48_64_False,1,1,15,0.2862401407027047,563
0,gse73072_hrv_48_64_False,1,1,16,0.3446381257467343,878
0,gse73072_hrv_48_64_False,1,1,17,0.40515012470308837,343
0,gse73072_hrv_48_64_False,1,1,18,0.44064299680510916,451
0,gse73072_hrv_48_64_False,1,1,19,0.31356909083146633,293
0,gse73072_hrv_48_64_False,1,1,20,0.35398821645084844,463
0,gse73072_hrv_48_64_False,1,1,21,0.3407828804589263,582
0,gse73072_hrv_48_64_False,1,1,22,0.2739044724816211,711
0,gse73072_hrv_48_64_False,1,1,23,0.4138756190295413,638
